id,title,clean_title,category,year,author,advisor,url,abstract_snippet
11,ANALISIS KINERJA ALGORITMA CNN DAN GRU PADA PREDIKSI CUACA DI PT GREAT GIANT PINEAPPLE,analisis kinerja algoritma cnn dan gru pada prediksi cuaca di pt great giant pineapple,Teknik Informatika,2024,William Rusli,"Winda Yulita, M.Cs.",https://repo.itera.ac.id/depan/submission/SB2406050062,Saat ini kondisi iklim di Indonesia menjadi sulit ditebak. Penyebab utamanya diperkirakan dikarenakan peningkatan suhu global yang menyebabkan terjadinya perubahan iklim. Perubahan iklim ini memiliki dampak negatif terhadap produksi pertanian. Cuaca yang tidak dapat diprediksi akan berpotensi mem...
12,ANALISIS KOMPARATIF AES-256 DAN CHACHA20 DALAM GRAPH STEGANOGRAPHY UNTUK PENGAMANAN TEKS,analisis komparatif aes 256 dan chacha20 dalam graph steganography untuk pengamanan teks,Teknik Informatika,2025,MUHAMMAD FARHAN ANNAUFAL,"Ilham Firman Ashari, S.Kom., M.T",https://repo.itera.ac.id/depan/submission/SB2601280044,"Perkembangan teknologi digital yang pesat mempermudah pertukaran data, namun juga meningkatkan risiko kebocoran dan penyalahgunaan informasi, sehingga keamanan data menjadi aspek yang sangat penting. Salah satu metode yang digunakan untuk menjaga kerahasiaan data adalah steganografi. Graph Steganogr..."
13,"Analisis Logika Fuzzy Metode Tsukamoto, Mamdani, dan Sugeno dalam Pemilihan Program Studi di Perguruan Tinggi (Studi Kasus:Siswa MAN 2 Bandar Lampung)",analisis logika fuzzy metode tsukamoto mamdani dan sugeno dalam pemilihan program studi di perguruan tinggi studi kasus siswa man 2 bandar lampung,Teknik Informatika,2021,Dedi Rizaldi,"Mohamad Idris S.Si., M.Sc",https://repo.itera.ac.id/depan/submission/SB2102050008,"Dalam dunia pendidikan, khususnya pendidikan di perguruan tinggi banyak terdengar mahasiswa yang gagal dalam menjalani pendidikannya, hal tersebut biasanya dikarenakan tidak selaras nya minat bakat dengan jenjang pendidikan yang ia jalani, hal tersebut di perkuat oleh penelitian yang dilakukan oleh ..."
14,Analisis Metode Ward Pada Teknik Oversampling MWMOTE Dalam Upaya Penanggulangan Imbalance data Kualitas Air Tanah,analisis metode ward pada teknik oversampling mwmote dalam upaya penanggulangan imbalance data kualitas air tanah,Teknik Informatika,-0001,Laila Noer Islami Hidayatullah,"Meida Cahyo Untoro S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2206080029,"Maraknya penggunaan internet dapat membuat jumlah data akan terus bertambah, sehingga diperlukan suatu proses yang dapat mempermudah pengolahan data dalam jumlah besar. Proses tersebut disebut dengan data mining, dimana dalam proses data mining terdapat sebuah metode bernama klasifikasi yang melakuk..."
15,ANALISIS OPTIMASI HYPERPARAMETER DAN EVALUASI METODE OVERSAMPLING PADA RANDOM FOREST DAN XGBOOST UNTUK DATA DENGAN KETIDAKSEIMBANGAN EKSTREM,analisis optimasi hyperparameter dan evaluasi metode oversampling pada random forest dan xgboost untuk data dengan ketidakseimbangan ekstrem,Teknik Informatika,2025,Raihan Alghiffari,"I Wayan Wiprayoga Wisesa, S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2602030022,"Penelitian ini menganalisis keterkaitan antara optimasi hyperparameter dan metode oversampling pada data tidak seimbang, di mana teknik oversampling SMOTE dan ADASYN berpotensi menyebabkan overfitting tanpa optimasi hyperparameter yang tepat. Permasalahan utama meliputi pengaruh optimasi hyperpa..."
16,"ANALISIS PEMICU GELOMBANG AIR LAUT MENGGUNAKAN K-MEANS CLUSTERING, STUDI KASUS PESISIR PROVINSI LAMPUNG",analisis pemicu gelombang air laut menggunakan k means clustering studi kasus pesisir provinsi lampung,Teknik Informatika,2023,Rahmat Fitriadi,"Meida Cahyo Untoro, S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2301180127,"ABSTRAK Analisis Pemicu Gelombang Air laut menggunakan metode K-means Clustering, Studi Kasus Pesisir Provinsi Lampung Rahmat Fitriadi Panjang garis pantai Provinsi Lampung ± 1.105 km membentuk 4 (empat) wilayah pesisir, yaitu Pantai Barat, Teluk Semaka, Teluk Lampung dan Selat Sunda serta Pa..."
17,Analisis Penerapan Metode Marker Based Tracking dan Markerless Tracking Pada Augmented Reality Sebagai Media Informasi dan Pembelajaran Buah Berbasis Android,analisis penerapan metode marker based tracking dan markerless tracking pada augmented reality sebagai media informasi dan pembelajaran buah berbasis android,Teknik Informatika,2023,Reza Kusuma Andya Nugraha,"Mugi Praseptiawan, S.T., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2306050009,"Indonesia merupakan salah satu negara yang termasuk ke dalam negara beriklim tropis, sehingga menjadikan Indonesia sebagai negara yang memilki kekayaan sumber daya alam yang sangat melimpah. Indonesia juga merupakan salah satu negara yang mulai mengalami perkembangan teknologi secara signifika..."
18,Analisis Pengaruh Hyperparameter Tuning Pada Model Klasifikasi Random Forest,analisis pengaruh hyperparameter tuning pada model klasifikasi random forest,Teknik Informatika,2025,MUHAMMAD FARISI ZATWARA PUTRA UNYI,"Winda Yulita, M.Cs.",https://repo.itera.ac.id/depan/submission/SB2507140018,"Di era Big Data, ketersediaan data dalam volume besar, kecepatan tinggi, dan ragam format menjadi tantangan sekaligus peluang dalam pengambilan keputusan berbasis data. Teknologi Machine Learning (ML) menjadi solusi kunci dalam mengekstraksi informasi dari data, salah satunya melalui algoritma Rando..."
19,Analisis Pengaruh Penerapan Komputasi Paralel Terhadap Waktu Komputasi Algoritma Tim Sort Menggunakan OpenMP dan MPI,analisis pengaruh penerapan komputasi paralel terhadap waktu komputasi algoritma tim sort menggunakan openmp dan mpi,Teknik Informatika,2023,Muhammad Nashrullah,"Eko Dwi Nugroho, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2304030011,Tim sort adalah salah satu algoritma pengurutan berbasiskan perbandingan yang menggabungkan algoritma merge sort dan binary insertion sort. Komputasi paralel adalah suatu teknik komputasi yang melakukan beberapa instruksi dalam satu waktu dengan memanfaatkan sejumlah prosesor. Penerapan komputasi pa...
20,"ANALISIS PERBANDINGAN ALGORITMA K-MEANS CLUSTERING MENGGUNAKAN EUCLIDEAN DISTANCE, MANHATTAN DISTANCE DAN CANBERRA DISTANCE PADA DATA PASIEN DIABETES",analisis perbandingan algoritma k means clustering menggunakan euclidean distance manhattan distance dan canberra distance pada data pasien diabetes,Teknik Informatika,2021,Shella Intia,"Angga Wijaya S.Si., M.Si",https://repo.itera.ac.id/depan/submission/SB2108030002,Diabetes merupakan suatu penyakit kadar gula dalam darah yang melebihi normal. Banyaknya data pasien penderita diabetes yang tercatat pada sistem dapat diolah untuk mengetahui informasi yang tersembunyi dari data tersebut. Salah satu cara untuk menganalisa data pasien dengan jumlah yang besar yaitu ...
