id,title,clean_title,category,year,author,advisor,url,abstract,cluster
230,PEMBANGUNAN APLIKASI PENDATAAN REGISTER DAN PENJADWALAN RESTRUKTURISASI KREDIT DENGAN METODE PERSONAL EXTREME PROGRAMMING DI KC BRI TELUK BETUNG,pembangunan aplikasi pendataan register dan penjadwalan restrukturisasi kredit dengan metode personal extreme programming di kc bri teluk betung,Teknik Informatika,2023,Okta Roma Uli Sihombing,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2308150041,"Restrukturisasi kredit adalah proses di mana pemberi pinjaman dan peminjam bekerja sama untuk mengubah syarat-syarat pembayaran kredit yang ada. Register kredit Bank BRI merujuk pada catatan atau database yang berisi informasi tentang kredit yang diberikan oleh Bank BRI kepada nasabahnya. Personal Extreme Programming merupakan salah satu metode pengembangan perangkat lunak yang dimulai dari requirement, planning, iteration initialization, design, implementation, system testing, dan retrospective. Pengembangan Aplikasi Pendataan Register dan Penjadwalan Restrukturisasi Kredit dengan Metode Personal Extreme Programming di KC BRI Teluk Betung telah berhasil memenuhi kebutuhan user terkait penjadwalan restrukturisasi dan pendataan register dengan sangat baik. Sebanyak 60 test case pada system testing telah terpenuhi, menguji fungsionalitas sistem secara efektif. Pengujian Usability Testing meliputi pengujian efektivitas, efisiensi, dan kepuasan. Pengujian pada aspek effectiveness memiliki persentase keberhasilan 100",4
236,Pembuatan Sistem Penjadwalan Pelayan Ibadah Gereja Mawar Sharon Lampung Menggunakan Algoritma Genetika,pembuatan sistem penjadwalan pelayan ibadah gereja mawar sharon lampung menggunakan algoritma genetika,Teknik Informatika,2025,YOSIA GILBERT WUATEN,"Eko Dwi Nugroho, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2505050021,"Gereja Mawar Sharon Lampung merupakan salah satu gereja yang menyelenggarakan ibadah dengan melibatkan volunteer sebagai pelayan di berbagai bidang, termasuk multimedia. Saat ini proses penjadwalan masih dilakukan secara manual melalui spreadsheet, yang berpotensi menyebabkan konflik jadwal, ketidakseimbangan beban pelayanan, serta inefisiensi waktu. Untuk mengatasi masalah tersebut, penelitian ini merancang dan membangun sistem penjadwalan otomatis menggunakan metode algoritma genetika. Sistem ini dikembangkan dengan pendekatan model waterfall dan diimplementasikan menggunakan framework Laravel. Penelitian ini juga menerapkan pengujian fungsional dengan metode Black Box serta evaluasi pengalaman pengguna menggunakan User Experience Questionnaire Short (UEQ-S). Hasil dari sistem menunjukkan peningkatan efisiensi dalam proses penjadwalan serta akurasi tinggi dalam menghasilkan jadwal yang sesuai dengan batasan yang ditentukan. Berdasarkan pengujian UEQ-S, sistem memperoleh skor 1.5 pada kualitas pragmatis dan 1.88 pada kualitas hedonis yang menunjukkan sistem berada pada kategori baik hingga sangat baik. Sistem ini dinilai mampu menjadi solusi digital yang efektif dan efisien dalam penjadwalan volunteer pelayanan ibadah.",4
266,PENERAPAN METODE PROTOTYPE UNTUK MEMBANGUN SISTEM INFORMASI MONITORING PERKEMBANGAN KEMAMPUAN BELAJAR ANAK BERKEBUTUHAN KHUSUS (STUDI KASUS: SLB INSAN PRIMA BESTARI),penerapan metode prototype untuk membangun sistem informasi monitoring perkembangan kemampuan belajar anak berkebutuhan khusus studi kasus slb insan prima bestari,Teknik Informatika,2024,DINI SAFITRI,"Andre Febrianto, S.Kom., M.Eng",https://repo.itera.ac.id/depan/submission/SB2406020035,"Pendidikan inklusif telah menjadi prioritas dalam membentuk sumber daya manusia berkualitas, terutama bagi anak-anak berkebutuhan khusus. Di SLB Insan Prima Bestari, pencatatan perkembangan anak menjadi hal krusial untuk menilai efektivitas program pembelajaran. Namun, saat ini belum ada media khusus dalam pencatatan perkembangan belajar anak, dimana informasi hanya disampaikan secara lisan melalui komunikasi langsung dengan orang tua. Selain itu, pelaporan tertulis hanya terdapat dalam bagian deskripsi tambahan dalam buku rapor, yang memiliki batasan dalam memberikan informasi yang spesifik dan terperinci mengenai perkembangan anak. Tujuan penelitian ini adalah merancang dan mengembangkan sistem informasi monitoring perkembangan belajar anak berkebutuhan khusus menggunakan metode Prototype serta melakukan pengujian sistem yang telah dikembangkan melalui pendekatan Black Box testing dan User Acceptance Testing (UAT). Metodologi yang diterapkan pada penelitian ini adalah metode Prototype yang melibatkan tahapan: pengumpulan kebutuhan, membangun prototyping, evaluasi prototyping, mengkodekan sistem, menguji sistem, evaluasi sistem dan terakhir yaitu menggunakan sistem. Hasil penelitian menunjukkan bahwa sistem informasi berhasil dikembangkan dengan metode Prototype. Pengujian sistem dengan pendekatan Black Box testing menunjukkan hasil 100% valid. Hasil evaluasi sistem yang diperoleh dari pengujian UAT terhadap 19 responden, didapatkan hasil interpretasi skor 88% pada evaluasi sistem iterasi 1 dengan beberapa saran dan masukan untuk perubahan dan penambahan fitur, lalu hasil interpretasi skor pada evaluasi sistem iterasi 2 diperoleh skor sebesar 90%, semua hasil interpretasi skor ini dapat dikategorikan ke dalam indeks interpretasi skor sebagai kategori ‘Sangat Baik’. Kata Kunci: Sistem Informasi, Monitoring, Anak Berkebutuhan Khusus, Prototype, User Acceptance Testing (UAT)",4
289,PENGEMBANGAN APLIKASI CUSTOMER RELATIONSHIP MANAGEMENT PADA APLIKASI ECOMMERCE BERBASIS ANDROID MENGGUNAKAN METODE EXTREME PROGRAMMING (Studi Kasus CV. Ariftama Tekindo),pengembangan aplikasi customer relationship management pada aplikasi ecommerce berbasis android menggunakan metode extreme programming studi kasus cv ariftama tekindo,Teknik Informatika,2026,Ihsan Triyadi,"Andre Febrianto, S.Kom., M.Eng",https://repo.itera.ac.id/depan/submission/SB2602030076,"Proses layanan pelanggan pada CV. Ariftama Tekindo yang masih mengandalkan pencatatan manual via WhatsApp menimbulkan kendala operasional, seperti keluhan terlewat, dokumentasi lemah, dan risiko kehilangan data. Penelitian ini bertujuan mengembangkan sistem Customer Relationship Management (CRM) terintegrasi ECommerce berbasis Android menggunakan metode Extreme Programming (XP) dan dievaluasi melalui Blackbox, Whitebox, dan User Acceptance Testing (UAT). Metode XP dipilih karena sifatnya iteratif dan fleksibel dalam merespons kebutuhan pengembangan fitur dinamis. Pengembangan sistem dilakukan dalam empat iterasi mencakup manajemen tiket pengaduan, komunikasi real-time, ulasan produk, hingga segmentasi pelanggan. Sistem dibangun menggunakan framework Flutter, Express.js, dan MySQL sebagai basis data yang handal. Hasil pengujian menunjukkan 21 skenario Blackbox Testing berhasil 100%, membuktikan sistem berfungsi sesuai spesifikasi. Evaluasi UAT berbasis standar ISO/IEC 25010 dengan 70 responden menghasilkan skor 85,45% (""Sangat Sesuai""), menunjukkan penerimaan pengguna yang tinggi. Implementasi sistem berhasil mengatasi permasalahan pencatatan manual dan meningkatkan efisiensi operasional melalui fitur tiket pengaduan terstruktur, chat dengan Socket.IO, pelacakan pengiriman, serta segmentasi pelanggan otomatis.",4
293,PENGEMBANGAN APLIKASI INVENTORY MANAGEMENT BERBASIS WEBSITE DENGAN BARCODE MENGGUNAKAN MODEL PERSONAL EXTREME PROGRAMMING (STUDI KASUS: KEBUN RAYA ITERA),pengembangan aplikasi inventory management berbasis website dengan barcode menggunakan model personal extreme programming studi kasus kebun raya itera,Teknik Informatika,2025,AKHBARONA SYANULIN,"Andre Febrianto, S.Kom., M.Eng",https://repo.itera.ac.id/depan/submission/SB2505280052,"Kebun Raya Itera merupakan pusat konservasi flora Sumatera dengan ikon pohon Gaharu yang dikelola oleh Unit Penunjang Akademik Konservasi Flora Sumatera (UPA KFS) di Perguruan Tinggi Institut Teknologi Sumatera (ITERA). Kebun Raya Itera dibangun sejalan dengan moto kampus ITERA yang mengusung konsep Smart, Friendly, and Forest Campus. Kebun Raya Itera saat ini dihadapkan pada sejumlah kendala, khususnya dalam proses manajemen inventarisasi barang yang digunakan untuk kegiatan kebun. Proses yang berjalan masih dilakukan secara konvensional seperti menggunakan logbook (buku catatan) untuk mencatat keluar dan masuknya barang. Barang-barang tersebut dikelompokan menjadi dua tipe barang, yaitu barang habis pakai dan barang pinjam. Penggunaan buku catatan sebagai media utama dalam mencatat dan menampilkan informasi dinilai belum mampu memberikan hasil yang maksimal. Cara tersebut dapat menimbulkan masalah yang berujung pada tidak konsistennya data. Akibatnya pembukuan barang-barang kebun menjadi tidak valid dan sulit melakukan proses rekapitulasi barang. Tujuan penelitian ini adalah mengembangkan sebuah aplikasi inventory management berbasis website dengan dukungan penggunaan barcode yang dapat diintegrasikan ke dalam manajemen inventarisasi barang Kebun Raya Itera. Metode pengembangan yang digunakan adalah menggunakan model Personal Extreme Programming (PXP). Terdapat sepuluh user stories dengan dua iterasi. Hasil blackbox testing menunjukkan bahwa seluruh fungsi berjalan sesuai ekspektasi. Hasil pengujian (system usability scale) SUS memperoleh skor akhir 67,5 dari lima responden, termasuk Grade “D” dengan kategori acceptability range “Marginal” dan adjective rating “Good”, menunjukkan sistem memenuhi standar kegunaan yang layak meskipun perlu pengembangan lebih lanjut untuk mencapai tingkat usability yang lebih optimal.",4
304,Pengembangan Aplikasi Ruang Kelas Virtual Berbasis Web dengan Metode Personal eXtreme Programming Untuk Implementasi Automated Essay Scoring pada Penilaian Tugas dan Ujian Online (Studi Kasus : SMP Negeri 10 Kotabumi),pengembangan aplikasi ruang kelas virtual berbasis web dengan metode personal extreme programming untuk implementasi automated essay scoring pada penilaian tugas dan ujian online studi kasus smp negeri 10 kotabumi,Teknik Informatika,2023,Markus Togi Fedrian Rivaldi Sinaga,"Winda Yulita, M.Cs.",https://repo.itera.ac.id/depan/submission/SB2309270001,"Penelitian ini mencoba menjawab permasalahan penting dalam bidang pendidikan yang berkaitan dengan perkembangan teknologi informasi dan komunikasi serta penggunaan pembelajaran jarak jauh. Pada SMP Negeri 10 Kotabumi yang menjadi studi kasus penelitian ini, tantangannya adalah penilaian tugas dan ujian secara otomatis, khususnya pada soal tipe isian yang memerlukan pengecekan manual. Untuk mengatasi masalah ini, telah berhasil dikembangkan aplikasi ruang kelas virtual berbasis web yang mengimplementasikan Automated Essay Scoring (AES). Aplikasi ini dapat memudahkan pelaksanaan tugas dan ujian daring, terutama dalam penilaian jawaban isian secara otomatis, yang akan mengurangi beban kerja guru. Pengujian Black Box Testing yang dilakukan oleh pihak SMP Negeri 10 Kotabumi menunjukkan bahwa aplikasi ini memenuhi kebutuhan pengguna, sesuai dengan user stories yang telah dikumpulkan. Selain itu, evaluasi usability dengan menggunakan System Usability Scale (SUS) menunjukkan bahwa pengguna aplikasi, termasuk guru dan siswa, memberikan skor akhir sebesar 87, yang masuk dalam kategori ""acceptable,"" yang menunjukkan bahwa aplikasi ini mudah digunakan dan dapat diterima dengan baik. Dengan demikian, penelitian ini berhasil mengatasi permasalahan dalam penilaian otomatis pada tugas dan ujian online di SMP Negeri 10 Kotabumi, dan membuka potensi untuk meningkatkan efisiensi dalam proses pembelajaran jarak jauh. Hal ini menjadi solusi yang relevan dalam menghadapi perkembangan teknologi informasi dan komunikasi di bidang pendidikan. Kata kunci : Virtual Classroom, Automated Essay Scoring, Pembelajaran Jarak Jauh, Personal eXtreme Programming",4
307,PENGEMBANGAN APLIKASI WEB PENGELOLAAN BANK SAMPAH SEROJA MENGGUNAKAN METODE PERSONAL EXTREME PROGRAMMING (STUDI KASUS: KELURAHAN PEMATANG WANGI),pengembangan aplikasi web pengelolaan bank sampah seroja menggunakan metode personal extreme programming studi kasus kelurahan pematang wangi,Teknik Informatika,2024,Dean Andhika Ramadhan,"Ir. Mugi Praseptiawan S.T., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2409250125,"Bank Sampah Seroja di Kelurahan Pematang Wangi bertujuan menjaga kelestarian lingkungan melalui pemilahan sampah dan penukaran sampah menjadi uang dengan skema tabungan. Saat ini, pencatatan masih manual, menyebabkan proses pengelolaan lambat dan berisiko terjadi kesalahan. Pengembangan aplikasi berbasis web diharapkan mempermudah pengelolaan dan meningkatkan kinerja. Fitur aplikasi mencakup pengelolaan data transaksi, pengguna, jenis sampah, tabungan, laporan harian dan bulanan dalam format excel, serta notifikasi bot WhatsApp untuk transaksi penukaran sampah dan penarikan tabungan menggunakan WhatsApp Gateway. Penulis menggunakan metode Personal Extreme Programming (PXP) untuk mengembangkan aplikasi ini, yang terdiri dari analisis kebutuhan, perencanaan, inisiasi iterasi, perancangan, implementasi, pengujian, dan retrospektif. Hasil penelitian menunjukkan aplikasi berhasil diimplementasikan dengan fitur-fitur yang sesuai kebutuhan. Pengujian sistem dilakukan menggunakan teknik blackbox untuk memastikan fungsionalitas sistem berjalan dengan semestinya. Evaluasi kegunaan sistem dilakukan dengan menggunakan System Usability Scale (SUS) untuk mengukur tingkat kemudahan dan manfaat sistem dari sudut pandang pengguna. Hasil penelitian menunjukkan keberhasilan pengembangan sistem aplikasi Bank Sampah Seroja yang dikembangkan dapat beroperasi dengan baik. Hasil evaluasi kegunaan sistem menunjukkan tingkat kepuasan pengguna yang tinggi dan masuk dalam kategori sangat baik dengan peringkat A dalam skala SUS. Dengan demikian, aplikasi ini diharapkan menjadi solusi efektif untuk mengelola Bank Sampah Seroja, memenuhi kebutuhan pengguna, dan meningkatkan kinerja pengelolaan.",4
328,PENGEMBANGAN SISTEM ANTREAN BIMBINGAN DOSEN BERBASIS PROGRESSIVE WEB APPLICATION MENGGUNAKAN METODE EXTREME PROGRAMMING (STUDI KASUS: PROGRAM STUDI TEKNIK iNFORMATIKA ITERA),pengembangan sistem antrean bimbingan dosen berbasis progressive web application menggunakan metode extreme programming studi kasus program studi teknik informatika itera,Teknik Informatika,2025,Andreas Sihotang,"Aidil Afriansyah, S.Kom., M.Kom",https://repo.itera.ac.id/depan/submission/SB2507220096,"Proses bimbingan tugas akhir di Program Studi Teknik Informatika ITERA masih dilakukan secara manual dan belum efisien, sehingga sering menimbulkan kendala dalam pengaturan jadwal dan komunikasi antara mahasiswa dan dosen pembimbing. Penelitian ini bertujuan untuk mengembangkan sistem antrean bimbingan berbasis Progressive Web Application (PWA) menggunakan metode Extreme Programming (XP) untuk meningkatkan efisiensi dan transparansi proses bimbingan. Data kebutuhan pengguna dikumpulkan melalui kuesioner daring yang diisi oleh 296 mahasiswa aktif, dengan penentuan sampel menggunakan rumus Slovin pada margin of error 5%. Sistem dikembangkan melalui tahapan XP yaitu perencanaan, perancangan, pengkodean, dan pengujian. Evaluasi sistem dilakukan menggunakan Blackbox Testing dan User Acceptance Testing (UAT) dengan pendekatan standar ISO/IEC 25010 dan skala Likert lima tingkat. Hasil pengujian menunjukkan bahwa seluruh fungsi sistem berjalan sesuai spesifikasi, dan hasil UAT menunjukkan tingkat kepuasan pengguna berada pada kategori ""Sangat Sesuai"" dengan persentase skor rata-rata sebesar 90,6%. Sistem juga mendukung akses lintas perangkat dan dapat diinstal seperti aplikasi seluler berkat teknologi PWA. Penelitian ini membuktikan bahwa metode XP efektif dalam menghasilkan sistem yang adaptif dan sesuai dengan kebutuhan pengguna.",4
329,PENGEMBANGAN SISTEM ANTREAN PELAYANAN ADMINISTRASI PROGRAM STUDI BERBASIS PWA MENGGUNAKAN METODE EXTREME PROGRAMMING (STUDI KASUS: PROGRAM STUDI TEKNIK INFORMATIKA),pengembangan sistem antrean pelayanan administrasi program studi berbasis pwa menggunakan metode extreme programming studi kasus program studi teknik informatika,Teknik Informatika,2025,Muhammad Fabil,"Aidil Afriansyah, S.Kom., M.Kom",https://repo.itera.ac.id/depan/submission/SB2505270006,"Proses pelayanan administrasi di Program Studi Teknik Informatika ITERA sebelumnya dilakukan secara manual, sehingga sering menimbulkan kendala seperti ketidakteraturan antrean, kurangnya transparansi status pengajuan, serta rendahnya efisiensi dalam pengelolaan permohonan layanan. Kondisi ini mengakibatkan penumpukan mahasiswa di ruang administrasi, waktu tunggu yang tidak dapat diprediksi, dan kesulitan dalam memantau perkembangan pengajuan dokumen akademik. Penelitian ini bertujuan untuk mengembangkan sistem antrean pelayanan administrasi berbasis Progressive Web Application (PWA) menggunakan metode Extreme Programming (XP) guna meningkatkan efektivitas dan transparansi layanan administrasi akademik. PWA dipilih karena kemampuannya memberikan pengalaman pengguna seperti aplikasi native dengan kemudahan akses melalui browser web tanpa memerlukan instalasi yang rumit. Pengumpulan kebutuhan pengguna dilakukan melalui kuesioner daring yang diisi oleh 296 mahasiswa aktif Program Studi Teknik Informatika, dengan penentuan jumlah responden berdasarkan rumus Slovin dengan margin of error 5%. Pengembangan sistem mengikuti tahapan metodologi XP yang meliputi perencanaan (planning), perancangan (design), pengkodean (coding), dan pengujian (testing) dengan pendekatan iteratif yang memungkinkan adaptasi cepat terhadap perubahan kebutuhan. Evaluasi sistem dilakukan melalui pengujian Blackbox Testing untuk memverifikasi fungsionalitas sistem dan User Acceptance Testing (UAT) berdasarkan standar ISO/IEC 25010 dengan skala Likert lima tingkat untuk mengukur kepuasan pengguna. Hasil pengujian menunjukkan bahwa seluruh fungsi berjalan sesuai spesifikasi yang telah ditetapkan, dan hasil UAT menunjukkan tingkat kepuasan pengguna sebesar 90,6",4
331,PENGEMBANGAN SISTEM DASHBOARD MONITORING KAMAR TIDUR DAN JADWAL DOKTER DENGAN METODE RAD (Studi Kasus : RSUD Abdul Moeloek),pengembangan sistem dashboard monitoring kamar tidur dan jadwal dokter dengan metode rad studi kasus rsud abdul moeloek,Teknik Informatika,2025,MUHAMAD IVAN AULIA RAHMAN,"Andre Febrianto, S.Kom., M.Eng",https://repo.itera.ac.id/depan/submission/SB2602180036,"Pengembangan sistem informasi menajemen rumah sakit (SIMRS) di RSUD Abdul Moeloek menghadapi kendala monitoring manual ketersediaan kamar tidur dan jadwal dokter yang menyebabkan keterlambatan informasi serta ketidakakuratan data. Penelitian ini mengatasi rumusan masalah tersebut melalui pengembangan sistem dashboard berbasis web menggunakan metode Rapid Application Development (RAD). Sistem diimplementasikan dengan GoLang dan PostgreSQL, serta diagram UML (Use Case, Activity, ERD), yang diuji melalui BlackBox Testing (32 skenario, 100% valid) serta System Usability Scale (SUS) dari 8 responden dengan skor rata – rata 81,25 (Excellent). Hasil menunjukkan sistem berhasil memantau data secara real–time dan mudah digunakan, sehingga direkomendasikan integrasi dengan SIMRS exisiting untuk optimalisasi pelayanan.",4
