id,title,clean_title,category,year,author,advisor,url,abstract,cluster
37,Analisis Sentimen Terhadap Kesetaraan Gender Menggunakan Algoritma Naive Bayes Berbasis Particle Swarm Optimization,analisis sentimen terhadap kesetaraan gender menggunakan algoritma naive bayes berbasis particle swarm optimization,Teknik Informatika,2024,Jaya Megelar Cakrawarty,"Ilham Firman Ashari S.Kom., M.T.",https://repo.itera.ac.id/depan/submission/SB2401220049,"Isu kesetaraan gender adalah perjuangan untuk memberikan hak yang sama kepada semua individu, independen dari identitas atau ekspresi gender mereka. Meskipun Indonesia telah berusaha meningkatkan kesadaran akan kesetaraan gender sejak 2000-an, pemahaman masyarakat tentang hal ini masih bervariasi. Media sosial, terutama Twitter, menjadi wadah penting bagi orang untuk berbagi pendapat dan respons terhadap isu-isu gender. Analisis sentimen di platform ini dengan algoritma Naive Bayes dan Naive Bayes PSO menjadi relevan untuk memahami pandangan dan sikap masyarakat terhadap kesetaraan gender di ranah digital. Penelitian ini bertujuan mengimplementasikan algoritma Naive Bayes dan Naive Bayes berbasis Particle Swarm Optimization untuk sentimen analisis kesetaraan gender pada pada media sosial Twitter dan untuk mengetahui perbandingan nilai akurasi penggunaan algoritma Naive Bayes dengan Naive Bayes berbasis Particle Swarm Optimization pada sentimen analisis kesetaraan gender. Melalui pengumpulan data, preprocessing, dan ekstraksi fitur TF-IDF, model klasifikasi dibangun dan dievaluasi dengan k-fold cross-validation serta confusion matrix. Pada pengujian yang dilakukan pada 1670 data dengan 10-fold, hasil menunjukkan bahwa Naive Bayes dengan PSO secara konsisten memberikan hasil yang lebih baik dibandingkan dengan Naive Bayes dalam mengklasifikasikan sentimen, dengan akurasi Naive Bayes berkisar antara 55.09% hingga 63.47%, sedangkan Naive Bayes dengan PSO mencapai 62.87% hingga 74.25%. Dengan peningkatan akurasi sekitar 4.19% hingga 14.38%, PSO mampu meningkatkan adaptasi model terhadap data kompleks dan fitur yang rumit, menunjukkan potensi PSO dalam meningkatkan analisis sentimen terkait kesetaraan gender di Twitter.",15
38,Analisis Sentimen Terhadap Peraturan Menteri Pendidikan dan Kebudayaan Menggunakan Support Vector Machine Berbasis Particle Swarm Optimization,analisis sentimen terhadap peraturan menteri pendidikan dan kebudayaan menggunakan support vector machine berbasis particle swarm optimization,Teknik Informatika,2022,Rutlima Sinaga,"Ilham Firman Ashari, S.Kom., M.T.",https://repo.itera.ac.id/depan/submission/SB2206070056,"Media sosial adalah sarana untuk berinteraksi antar pengguna dengan menciptakan konten informasi, membagikan dan menerimanya dengan media aplikasi berbasis internet. Media sosial digunakan untuk beriteraksi dari satu orang ke orang lain, begitu juga pemerintah. Interaksi dilakukan melalui fitur komentar. Twitter dan youtube merupakan media yang memfasilitasi hal tersebut. Komentar dari media sosial bisa dianalisis lebih lanjut. Bidang yang bisa mengolah komentar-komentar tersebut disebut analisis sentimen. Analisis sentimen adalah bidang yang menganalisis sentimen, sikap, dan emosi entitas dan atributnya yang berupa teks. Penelitian ini melakukan analisis sentimen terhadap diterbitkannya peraturan menteri no.30 tahun 2021. Komentar yang digunakan diambil dari twitter dan youtube dengan teknik scraping. Data yang didapatkan selanjutnya di preprocessing. Preprocessing yang diterapkan adalah case folding, tokenization, penghapusan stopword, stemming menggunakan sastrawi. Dataset dilabeli secara otomatis menggunakan VADER (Valence Dictionary for sEntiment Reasoning). Tujuan dari penelitian adalah membandingkan performa dari algoritma klasifikasi Support Vector Machine (SVM) tanpa menerapkan Particle Swarm Optimization (PSO) dan performa algoritma klasifikasi Support Vector Machine menggunakan dengan menerapkan PSO. Pemodelan menggunakan algoritma klasifikasi SVM dengan kernel linear, RBF dan polynomial orde-1 dan orde-2. Adapun performa yang diukur adalah akurasi dan f1-macro pada model tanpa menerapkan PSO dan akurasi pada model yang menerapkan PSO. Model dengan performa terbaik sebelum diterapkan PSO pada dataset twitter adalah kernel linear dengan nilai akurasi sebesar 0.87 dan f1- macro sebesar 0.71. Model dengan performa terbaik pada dataset youtube adalah kernel linear dengan akurasi 0.93 dan f1-macro sebesar 0.87. Model yang diterapkan PSO tidak berhasil meningkatkan akurasi pada semua kernel. Kernel yang berhasil meningkatkan akurasi adalah kernel RBF dari 0.76 menjadi 0.82 dan polynomial dari 0.78 menjadi 0.84 pada dataset twitter, sementara untuk dataset youtube peningkatan akurasi tidak terlalu signifikan. Hasil akurasi pada kernel RBF dari 0.93 menjadi 0.95, kernel polynomial dari 0.91 menjadi 0.95. Kata Kunci: Sentimen Analisis, VADER, Preprocessing, Support Vector Machine, Particle Swarm Optimization, Kernel",15
39,Analisis Sentimen Terhadap Status Endemi COVID-19 Menggunakan KNN+,analisis sentimen terhadap status endemi covid 19 menggunakan knn,Teknik Informatika,2023,Ismi Zahra Rezkatiana,"Meida Cahyo Untoro, S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2301130044,"Pemberitaan yang beredar di media sosial terkait perubahan status pandemi COVID-19 menjadi endemi memuat banyak tanggapan dari masyarakat Indonesia. Adanya pemberitaan dan peraturan baru yang dibuat pemerintah Indonesia membuat masyarakat umum ingin mengungkapkan segala pendapat, aspirasi dan kritikan. Pada penelitian ini dilakukan analisis sentimen terhadap tanggapan masalah pemberitaan perubahan status pandemi menjadi endemi guna mengetahui sentimen masyarakat secara general dan objektif di media sosial Twitter. Proses analisis menggunakan metode KNN+ (Improved KNN) yang diharapkan akan menghasilkan akurasi yang sangat baik pada data yang digunakan dan dapat memberikan gambaran persepsi masyarakat terhadap endemi di Indonesia serta mengetahui pengaruh nilai k tehadap hasil akurasi metode KNN+. Pada penelitian ini pengujian dilakukan menggunakan Confusion Matrix dengan hasil akurasi terbaik pada nilai k=3 dan k=7 sebesar 93,52",15
51,DETEKSI BERITA HOAX MENGGUNAKAN METODE SUPPORT VECTOR MACHINES PADA BERITA DI PROVINSI LAMPUNG,deteksi berita hoax menggunakan metode support vector machines pada berita di provinsi lampung,Teknik Informatika,2024,Said Rizky Abizard,"Meida Cahyo Untoro S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2406030057,"Kemajuan internet yang cepat telah mengubah banyak aspek kehidupan, termasuk cara kita berkomunikasi. Internet tidak hanya memfasilitasi komunikasi tetapi juga berfungsi sebagai saluran efisien untuk menyebarkan informasi, memungkinkan masyarakat untuk mengakses dan menerima informasi dengan cepat dan mudah. Meskipun penyebaran informasi yang cepat adalah perkembangan yang menguntungkan, namun tidak semua konten online adalah faktual. Sebagian besar berita online bisa jadi tidak akurat atau hoax. Hoax adalah berita yang menyesatkan dan manipulatif, yang menyebarkan kebohongan sebagai kebenaran. Informasi semacam ini bisa merugikan banyak orang yang tidak bersalah dengan meyakinkan mereka tentang peristiwa yang sebenarnya tidak terjadi. Permasalahan yang dihadapi pengguna internet berita hoax dapat diselesaikan melalui pengenalan pola. Data penelitian dilakukan terhadap 500 berita di Provinsi Lampung, 250 berita faktual dan 250 berita hoax. Data dikumpulkan dari portal berita online Hoaxbuster dan RMOLLampung dengan metode web scraping. Model penelitian dibangun dengan menggunakan metode Support Vector Machine (SVM) dengan melakukan perbandingan 2 kernel yaitu Radial Basic Function dan Polynomial. Hasil penelitian menunjukkan bahwa akurasi pada kernel RBF lebih tinggi dengan nilai sebesar 98%, sedangkan untuk kernel Polynomial memiliki nilai akurasi sebesar 97%. Berdasarkan hasil tersebut dapat disimpulkan bahwa kernel RBF memiliki kecenderungan yang lebih rendah untuk overfitting dibandingkan dengan kernel Polynomial, terutama ketika degree pada kernel Polynomial tinggi.",15
72,EVALUASI KLASIFIKASI NAÏVE BAYES (STUDI KASUS : DATA TWITTER “SEKOLAH ONLINE BERBAHASA INDONESIA”),evaluasi klasifikasi na ve bayes studi kasus data twitter sekolah online berbahasa indonesia,Teknik Informatika,2022,Abbi Kurnia R.K.,"Raidah Hanifah, S.T., M.T.",https://repo.itera.ac.id/depan/submission/SB2201310005,"Analisis sentimen adalah metode untuk memahami, dan memproses data teks untuk memperoleh informasi emosi atau sentimen yang ada dalam pernyataan atau kalimat opini. Analisis sentimen juga dapat dilakukan untuk menganalisis opini pengguna media sosial Twitter terhadap topik tertentu, salah satunya topik 'Sekolah Online'. Penelitian yang diberi judul Evaluasi Klasifikasi Naïve Bayes (Studi Kasus: Data Twitter 'Sekolah Online Berbahasa Indonesia'), menggunakan metode klasifikasi Naïve Bayes dan pembobotan kata TF-IDF dan Gain Ratio bertujuan untuk menilai kinerja klasifikasi Naïve Bayes ketika menggunakan pembobotan kata TF-IDF dibandingkan ketika menggunakan pembobotan kata Gain Ratio dalam dataset 'Sekolah Online Berbahasa Indonesia' yang diambil dari media sosial Twitter. Hasil yang diperoleh dari penelitian ini adalah akurasi klasifikasi Naïve Bayes dengan pembobotan TF-IDF dengan jumlah fitur masing-masing 500, 1000, 1071 dan 1534 adalah 67%, 66,8%, 67",15
82,EVALUASI SENTIMEN PUBLIK TERHADAP ANCAMAN RESESI EKONOMI INDONESIA 2023 PADA TWITTER DENGAN LEXICAL BASED DAN MULTINOMIAL NAÏVE BAYES,evaluasi sentimen publik terhadap ancaman resesi ekonomi indonesia 2023 pada twitter dengan lexical based dan multinomial na ve bayes,Teknik Informatika,2024,Muhammad Naseruddin Rasyid,"Meida Cahyo Untoro, S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2401160001,"Tahun 2023 merupakan tahun pemulihan aktivitas ekonomi dimulai dari menurunnya kasus covid-19 dan adanya kebijakan-kebijakan yang dikeluarkan. Seperti kebijakan dari bank sentral yang menaikan suku bunga untuk meredakan kekhawatiran terhadap laju inflasi yang meningkat. Selain dari faktor guncangan ekonomi yang sedang terjadi, terdapat permasalahan konflik sosial juga yang menjadi masalah di tengah masyarakat. Seperti pemutusan hubungan kerja secara massal menurut badan pusat statistik (BPS) sudah lebih dari 146.407 kasus phk. Banyaknya isu yang bertebaran dalam media sosial seperti Twitter mengenai ancaman resesi 2023 menjadikan hal tersebut untuk manipulasi suatu rumor tentang bahaya yang akan terjadi dan menyebabkan suatu kekhawatiran bagi masyarakat terhadap kondisi ekonomi tahun 2023. Dengan adanya permasalahan tersebut menjadi banyaknya masyarakat yang mengutarakan pendapatnya menjadikan suatu sentimen yang diberikan oleh masyarakat mengenai ancaman resesi yang terjadi pada tahun 2023. Sehingga arah dan tujuan dari penelitian ini dilakukan untuk mengevaluasi dari sentimen masyarakat mengenai ancaman resesi yang terjadi pada tahun 2023 dan mendapatkan tingkat keresahan masyarakat dengan menilai sentimen yang diberikan mengarah pada sentimen negatif, positif ataupun netral. Serta menguji keakuratan dari penggunaan algoritma Multinomial Naïve Bayes dalam melakukan klasifikasi sentimen yang dibantu menggunakan Lexical Based dalam melakukan pelabelan data. Pada penelitian ini akan dilakukan proses pengumpulan data dengan 2 periode. Pada periode 1 dilakukan pada bulan Januari hingga Juni dan periode 2 dilakukan pada bulan Juli hingga Desember pada tahun 2023. Selanjutnya data akan dilakukan tahapan pembersihan, pelabelan data menggunakan VADER sentiment, preprocessing, pembobotan kata dengan TF-IDF, pemodelan algoritma Multinomial Naïve Bayes dan evaluasi confusion matrix. Dalam penelitian ini menggunakan 3 model pembagian rasio data latih dan data uji sebesar, 70:30, 80:20 dan 90:10 untuk menguji nilai akurasi model yang didapatkan pada kedua data. Hasil dari penelitian yang dilakukan didapatkan bahwa hasil akurasi terbaik didapatkan pada pembagian data dengan ratio data (70:30) pada data periode 1 dengan nilai akurasi yang didapatkan 69",15
97,Identifikasi Ekspresi Wajah Menggunakan Convolutional Neural Network,identifikasi ekspresi wajah menggunakan convolutional neural network,Teknik Informatika,2023,Della Salsabila,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2309210030,"Ekspresi wajah merupakan salah satu bentuk komunikasi nonverbal yang dapat mengungkapkan keadaan emosi seseorang kepada pengamat. Emosi adalah bagian yang sulit diketahui secara langsung. Dalam bidang humaniora seperti psikologi, HRD, dan petugas investigasi dari pihak kepolisian sering mengalami kesulitan dalam menentukan emosi dari ekspresi wajah lawan bicaranya, seringkali orang salah mengartikan perasaan seseorang karena hanya melihatnya sesaat. Untuk menghindarinya, maka perlu memperhatikan perubahan wajah seseorang seiring berjalannya waktu. Namun hal ini tidak bisa dilakukan oleh masyarakat secara langsung dikarenakan dapat mengalami kejenuhan sehingga menimbulkan ketidaktepatan. Dalam penelitian ini dibangun sebuah model yang dapat melakukan identifikasi ekspresi wajah menggunakan Convolutional Neural Network dengan arsitektur ResNet50. Model ini dapat mengidentifikasi 7 kelas ekspresi wajah yaitu terkejut, marah, senang, jijik, netral, sedih, dan takut. Penelitian ini menggunakan dataset sebanyak 36.887 citra dengan 70",15
98,Identifikasi Kalimat Penting untuk Ekstraksi Informasi 5W1H pada Teks Berita dengan Sequence Labeling,identifikasi kalimat penting untuk ekstraksi informasi 5w1h pada teks berita dengan sequence labeling,Teknik Informatika,2017,Najib Darmawan (14113001),"Dr. Masayu Leylia Khodra S.T., M.T.",https://repo.itera.ac.id/depan/submission/SB1803210007,"Ekstraksi Informasi 5W1H mengidentifikasi siapa melakukan apa, kapan, dimana, mengapa, dan bagaimana. Suatu teks berita perlu distrukturkan sehingga akan didapatkan pemahaman yang lebih baik terhadap teks berita itu sendiri. Melabeli teks berita Bahasa Indonesia dengan menggunakan notasi BIO (Begin In Others) memberikan nilai f-measure tertinggi sebesar 0,666. Pada tugas akhir ini, akan diteliti apakah dengan melakukan pemilihan kalimat penting dari suatu artikel dapat meningkatkan kinerja sequence labeling dengan notasi BIO dalam mengekstraksi informasi 5W1H, serta untuk menemukan kombinasi fitur terbaik pada tahapan identifikasi kalimat penting. Setiap kalimat dari suatu berita akan diekstraksi fitur berdasarkan fitur surface dan semantic untuk menghasilkan model identifikasi kalimat penting. Fitur-fitur tersebut adalah term weight, sentence location, sentence length, number of named entity, title words overlap rate, dan informativeness of news headline. N kalimat penting kemudian ditokenisasi, diekstraksi fitur, dan dilabeli dengan menggunakan sequence labeling berdasarkan notasi BIO. Fitur yang digunakan dibagi menjadi 6 grup fitur yaitu leksikal, POS tag, NE tag, left prediction, DateTimePattern, dan TitleToken. Fitur terbaik untuk mengklasifikasikan kalimat penting yaitu term weight dan sentence location. Hasil ekstraksi informasi terbaik didapatkan dengan menggunakan Naïve Bayes dan menyeleksi fitur is time pattern, memberikan nilai f-measure sebesar 0.860. Identifikasi kalimat penting berhasil meningkatkan nilai f-measure ekstraksi informasi 5W1H yang dilakukan dengan sequence labeling.",15
100,Identifikasi Kejenuhan dari Ekspresi Wajah Menggunakan Transfer Learning,identifikasi kejenuhan dari ekspresi wajah menggunakan transfer learning,Teknik Informatika,2022,Jefri Manurung,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2206050029,"Semula kegiatan belajar mengajar dilakukan dengan tatap muka di ruangan yang sudah disediakan, namun kini beralih secara daring. Pembelajaran daring memberikan dampak terhadap kejenuhan belajar siswa, dimana hal tersebut diketahui melalui indikator-indikator dari aspek kelelahan emosi, kelelahan fisik, kelelahan kognitif, dan kehilangan motivasi. Disamping pengajar harus memberikan materi yang sudah disediakan, pengajar juga harus memperhatikan seluruh siswa yang ada pada pembelajaran daring tesebut. Hal ini dapat diatasi dengan sistem yang dapat mendeteksi kejenuhan siswa menggunakan perangkat kamera. Sistem bekerja dengan memindai arah wajah dan pandangan siswa menggunakan teknologi OpenCV dan metode Transfer Learning. Untuk dapat mengenali kejenuhan siswa, dapat dilakukan dengan menggunakan context performance, ekspresi wajah dan detak jantung. Namun dengan ketersediaan kamera yang sudah tersebar luas, maka identifikasi kejenuhan menggunakan ekspresi wajah menjadi lebih mudah dilakukan. Sistem pengenalan ekspresi wajah pada penelitian kali ini akan menggunakan dataset FER2013 dan metode Transfer Learning. Pengenalan ekspresi wajah dengan dataset FER2013 dan metode Transfer Learning memiliki tingkat akurasi pembacaan 68",15
115,Implementasi Algoritma Freeman Chain Code dan Support Vector Machine (SVM) pada Identifikasi Aksara Lampung,implementasi algoritma freeman chain code dan support vector machine svm pada identifikasi aksara lampung,Teknik Informatika,2022,Pasha Abdul Khalid,"Mohamad Idris, S.Si., M.Sc.",https://repo.itera.ac.id/depan/submission/SB2201310074,"Aksara Lampung adalah salah satu warisan kebudayaan yang dimiliki oleh provinsi Lampung. Aksara Lampung terdiri dari 20 induk aksara Lampung. Pelestarian aksara Lampung yang dilakukan oleh pemerintah provisi Lampung yaitu memasukkan kurikulum bahasa Lampung dari sekolah hingga sekolah menengah, tetapi hal ini dinilai kurang optimal. Adapun upaya lain dapat yang dilakukan untuk melestarikan aksara Lampung dengan penggunaan teknologi. Teknologi tersebut adalah machine learning yang dapat mengenali atau identifikasi pola citra. Pada penelitian ini akan dibangun model pembelajaran yang mampu mengidentifikasi citra dari aksara Lampung. Citra yang yang dapat diidentifikasi oleh model merupakan induk aksara Lampung berupa tulisan tangan. Tahapan awal penelitian adalah akuisisi data citra aksara Lampung menggunakan aplikasi dari smartphone. Tahap selanjutnya adalah Preprocessing data citra yang terdiri dari Resizing, Grayscaling dan binerisasi. Selanjutnya data citra diekstraksi, penelitian ini menggunakan algoritma Freeman Chain Code untuk mengekstraksi fitur unik yang dimiliki oleh citra. Fitur unik yang dihasilkan berupa kode rantai dengan Panjang rantai yang berbeda-beda oleh sebab itu dilakukan normalisasi. Tahap terakhir yaitu klasifikasi citra menggunakan algoritma Support Vector Machine. Berdasarkan penelitian ini akurasi model dalam mengidentifikasi citra induk aksara Lampung adalah sebesar 70,3%.",15
