id,title,clean_title,category,year,author,abstract_snippet,cluster
20,"ANALISIS PERBANDINGAN ALGORITMA K-MEANS CLUSTERING MENGGUNAKAN EUCLIDEAN DISTANCE, MANHATTAN DISTANCE DAN CANBERRA DISTANCE PADA DATA PASIEN DIABETES",analisis perbandingan algoritma k means clustering menggunakan euclidean distance manhattan distance dan canberra distance pada data pasien diabetes,Teknik Informatika,2021,Shella Intia,Diabetes merupakan suatu penyakit kadar gula dalam darah yang melebihi normal. Banyaknya data pasien penderita diabetes yang tercatat pada sistem dapat diolah untuk mengetahui informasi yang tersembunyi dari data tersebut. Salah satu cara untuk menganalisa data pasien dengan jumlah yang besar yaitu ...,7
25,Analisis Perbandingan Region Of Interest (ROI) Untuk Pengukuran Frekuensi Denyut Nadi Secara Non-Kontak Menggunakan Algoritma POS Pada Citra Wajah,analisis perbandingan region of interest roi untuk pengukuran frekuensi denyut nadi secara non kontak menggunakan algoritma pos pada citra wajah,Teknik Informatika,2025,Ardoni Yeriko Rifana Gultom,"Pengukuran frekuensi denyut nadi (FDN) merupakan indikator penting dalam pemantauan kesehatan kardiovaskular. Metode konvensional berbasis kontak, seperti pulse oximeter, memiliki keterbatasan dalam hal kenyamanan dan potensi risiko infeksi. Teknologi remote photoplethysmography (rPPG) berbasis citr...",7
50,Deteksi Awal Penyakit Paru-Paru Berdasarkan Gejala Menggunakan Dempster Shafer dan Fuzzy Naïve Bayes,deteksi awal penyakit paru paru berdasarkan gejala menggunakan dempster shafer dan fuzzy na ve bayes,Teknik Informatika,2022,Abrar Dewa Pratama Barus,Sistem pakar merupakan sistem yang berusaha mengambil pengetahuan seorang pakar ke dalam komputer yang ditujukan agar komputer dapat menyelesaikan suatu masalah seperti halnya seorang pakar. Kesehatan sangat penting untuk dijaga terutama kesehatan pada paru-paru yang merupakan organ vital manusia. W...,7
55,Deteksi Gejala Penyakit Infectious Myonecrosis Virus Pada Udang Vaname (Litopenaeus Vannamei) dengan Fitur Tekstur dan Warna Menggunakan Support Vector Machine,deteksi gejala penyakit infectious myonecrosis virus pada udang vaname litopenaeus vannamei dengan fitur tekstur dan warna menggunakan support vector machine,Teknik Informatika,2021,Febri Dwi Putro,Infectious myonecrosis virus (IMNV) merupakan penyakit utama pada budidaya udang. Menurut Koesharyan pada tahun 2019 diketahui penyakit tersebut dapat menginfeksi sebagian besar udang vaname yang mengakibatkan kematian besar dan dapat menyebabkan kematian 100% jika penanganannya terlambat dan panen ...,7
58,Deteksi Objek Pada Citra Radiologi Untuk Mendeteksi Penyakit TBC (Tuberculosis) Menggunakan Metode YOLOv5,deteksi objek pada citra radiologi untuk mendeteksi penyakit tbc tuberculosis menggunakan metode yolov5,Teknik Informatika,2024,Muhammad Faatih Rizal Auliya,"Sistem radiologi pada rumah sakit merupakan suatu metode pendiagnosaan penyakit yang saat ini banyak digunakan. Salah satu penyakit yang dapat di diganosa dengan menggunakan sistem radiologi adalah TBC. Namun, banyaknya jumlah pasien yang jauh dibandingkan dengan kehadiran fisik ahli radiologi te...",7
74,Evaluasi Metode Remote Photoplethysmography dan Area Wajah untuk Pengukuran Detak Jantung dan Variabilitasnya dari Video Wajah dalam Konteks Aktivitas Kognitif,evaluasi metode remote photoplethysmography dan area wajah untuk pengukuran detak jantung dan variabilitasnya dari video wajah dalam konteks aktivitas kognitif,Teknik Informatika,2025,Arsyadana Estu Estu Aziz,"Aktivitas jantung adalah indikator fisiologis vital untuk menilai stres dan beban kognitif. Metode kontak tradisional seperti EKG dan PPG kurang fleksibel untuk pemantauan harian. Remote Photoplethysmography (rPPG) menawarkan solusi non-kontak, menggunakan kamera untuk memperkirakan detak jantung...",7
79,EVALUASI PERBANDINGAN KINERJA ALGORITMA SUPPORT VECTOR MACHINE DAN NAÏVE BAYES DALAM PENGKLASIFIKASIAN PENYAKIT DIABETES MELITUS (STUDI: RUMAH SAKIT ADVENT BANDAR LAMPUNG),evaluasi perbandingan kinerja algoritma support vector machine dan na ve bayes dalam pengklasifikasian penyakit diabetes melitus studi rumah sakit advent bandar lampung,Teknik Informatika,2023,Laurentia Ana Emeliana S,Diabetes adalah penyakit kronis yang berhubungan dengan gula darah tinggi. Ini karena glukosa diangkut ke sel-sel tubuh dan digunakan sebagai sumber energi untuk memproduksi atau menggunakan hormon insulin. Penelitian ini bertujuan untuk membandingkan performa algoritma Support Vector Machine (SVM) ...,7
95,Gerbang Masuk Otomatis untuk Pemeriksaan Suhu Tubuh dan Kepatuhan Penggunaan Masker (Studi Kasus: Protokol Normal Baru Di Institut Teknologi Sumatera),gerbang masuk otomatis untuk pemeriksaan suhu tubuh dan kepatuhan penggunaan masker studi kasus protokol normal baru di institut teknologi sumatera,Teknik Informatika,2021,Rivaldo Fernandes,Virus COVID-19 merupakan virus yang menyebabkan penyakit pada manusia ataupun pada hewan. Virus ini menyebar dengan sangat cepat melalui kontak fisik maupun media lainnya dalam jarak yang sangat dekat. Badan Kesehatan Dunia (WHO) menetapkan virus COVID-19 sebagai pandemi global yang memerlukan penan...,7
96,IDENTIFIKASI ACUTE LIMPHOBLASTIC LEUKEMIA MENGGUNAKAN ALGORITMA K-NEAREST NEIGHBOR DENGAN EKSTRAKSI FITUR BENTUK DAN TEKSTUR,identifikasi acute limphoblastic leukemia menggunakan algoritma k nearest neighbor dengan ekstraksi fitur bentuk dan tekstur,Teknik Informatika,2023,Nuril Humaya,"Acute Limphoblastic Leukemia (ALL) adalah jenis penyakit kanker sel darah putih yang paling banyak mengenai anak dibawah usia 15 tahun. Leukemia di sebabkan oleh sel darah putih yang diproduksi secara berlebihan pada tubuh manusia sehingga tidak terkontrol. Jika dilihat secara kasat mata, citr...",7
97,Identifikasi Ekspresi Wajah Menggunakan Convolutional Neural Network,identifikasi ekspresi wajah menggunakan convolutional neural network,Teknik Informatika,2023,Della Salsabila,"Ekspresi wajah merupakan salah satu bentuk komunikasi nonverbal yang dapat mengungkapkan keadaan emosi seseorang kepada pengamat. Emosi adalah bagian yang sulit diketahui secara langsung. Dalam bidang humaniora seperti psikologi, HRD, dan petugas investigasi dari pihak kepolisian sering mengalami k...",7
