id,title,clean_title,category,year,author,abstract_snippet,cluster
10,Analisis dan Perbaikan Rancangan Ui/Ux pada Aplikasi Mobile OKEBOS menggunakan Metode Design Sprint,analisis dan perbaikan rancangan ui ux pada aplikasi mobile okebos menggunakan metode design sprint,Teknik Informatika,2022,Dian Asmara Dahana,"OKEBOS adalah perusahaan starup di lampung berbasis aplikasi mobile yang memiliki 8 layanan fitur utama yaitu antar barang, transportasi online, pemesanan jasa pijat, antar makanan/minuman serta menyediakan jasa servis yang bersedia untuk datang ke rumah pelanggan. Berdasarkan hasil Preliminary Rese...",0
23,Analisis Perbandingan Manual Testing Dengan Automation Testing Dalam Menguji Perangkat Lunak Pada Website Lampung Cerdas,analisis perbandingan manual testing dengan automation testing dalam menguji perangkat lunak pada website lampung cerdas,Teknik Informatika,2025,Devi Kurnia,"PT. Lampung Cerdas mengelola portal pendidikan “Lampung Cerdas” dan masih menggunakan metode manual testing dalam proses pengujian perangkat lunak. Metode ini menghadapi sejumlah kendala seperti keterbatasan sumber daya manusia, potensi human error, proses yang memakan waktu, dan deteksi bug yan...",0
42,Aplikasi Analisis Dan Pemetaan Kepegawaian Berbasis Pengalaman Dan Perpangkatan Dengan Metode Waterfall (Studi Kasus: Dinas Perhubungan Provinsi Lampung),aplikasi analisis dan pemetaan kepegawaian berbasis pengalaman dan perpangkatan dengan metode waterfall studi kasus dinas perhubungan provinsi lampung,Teknik Informatika,2023,Aulia Rahman Zulfi,Reformasi Birokrasi merupakan suatu hal penting yang dilakukan perusahaan maupun organisasi terkait. Salah satu instansi yang sedang melakukan reformasi birokrasi yaitu Dinas Perhubungan Provinsi Lampung terkait adanya urgensi perubahan konkrit dalam reformasi birokrasi pemerintahan di Indonesia den...,0
44,AUDIT KEAMANAN SISTEM INFORMASI PADA APLIKASI ELECTRONIC PLANNING MENGGUNAKAN FRAMEWORK COBIT 5 DAN STANDAR ISO/IEC 27001:2013 (STUDI KASUS: BAPPEDA PROVINSI LAMPUNG),audit keamanan sistem informasi pada aplikasi electronic planning menggunakan framework cobit 5 dan standar iso iec 27001 2013 studi kasus bappeda provinsi lampung,Teknik Informatika,2021,Rodliyatun Nichlah Hidayati,Aspek keamanan informasi merupakan salah satu hal penting yang perlu diperhatikan saat perkembangan teknologi semakin pesat seperti saat ini. BAPPEDA Provinsi Lampung memiliki pusat layanan informasi pemerintahan elektronik atau E-Government dengan nama aplikasi electronic planning. Aplikasi ini ber...,0
45,"Audit Teknologi Informasi Menggunakan Framework Cobit 5 Domain Deliver, Service, And Support (Studi Kasus: Tunas Toyota Bandar Jaya)",audit teknologi informasi menggunakan framework cobit 5 domain deliver service and support studi kasus tunas toyota bandar jaya,Teknik Informatika,2025,Defangga Aby Vonega,"Penelitian ini bertujuan untuk mengaudit kinerja teknologi informasi (TI) di Tunas Toyota Bandar Jaya dengan menggunakan kerangka kerja COBIT 5, khususnya domain Deliver, Service, and Support (DSS). Sebagai cabang dealer resmi Toyota yang berkomitmen memberikan pelayanan terbaik, Tunas Toyota mengha...",0
47,DATA MINING ANALISA POLA PEMBELIAN PASTRY MENGGUNAKAN ALGORITMA APRIORI (STUDI KASUS: MOORE COFFEE AND PASTRY),data mining analisa pola pembelian pastry menggunakan algoritma apriori studi kasus moore coffee and pastry,Teknik Informatika,2025,Ahmad Aldi Setiawan,"Moore Coffee and Pastry merupakan salah satu bisnis yang bergerak di bidang penjualan makanan dan minuman dengan konsep industrial dan open space yang unik, serta memiliki produk utama yaitu pastry. Salah satu permasalahan yang dihadapi bisnis ini adalah pengelolaan data pembelian pastry yang kurang...",0
49,DESAIN ANTARMUKA APLIKASI PEMESANAN MAKANAN DAN MINUMAN MENGGUNAKAN USER CENTERED DESIGN (Studi Kasus: KAFE PROSPERO BARN),desain antarmuka aplikasi pemesanan makanan dan minuman menggunakan user centered design studi kasus kafe prospero barn,Teknik Informatika,2023,Nayaka Pitra Raditya,"Kafé Prospero Barn merupakan sebuah usaha/bisnis dalam dibidang penjualan makanan dan minuman, berlokasi di Jalan Flamboyan Kota Salatiga Jawa Tengah. Prospero Barn ini terdapat restaurant dan coffee shop. Saat ini proses penjualan yang digunakan kafe Prospero Barn yaitu pelanggan akan melaku...",0
61,DIGITALISASI ARSIP SURAT DENGAN METODE LEAN (STUDI KASUS: BAPPEDA PESAWARAN),digitalisasi arsip surat dengan metode lean studi kasus bappeda pesawaran,Teknik Informatika,2023,Agung Adi Purwanto,ABSTRAK DIGITALISASI ARSIP SURAT DENGAN METODE LEAN (STUDI KASUS: BAPPEDA PESAWARAN) Agung Adi Purwanto Penelitian ini dilatarbelakangi dengan permasalahan terkait arsip surat menyurat yang terjadi di Kantor BAPPEDA Kabupaten Pesawaran seperti proses pengarsipan surat masuk dan surat keluar ma...,0
66,EVALUASI DAN PERANCANGAN ANTARMUKA PENGGUNA MENGGUNAKAN METODE GOAL DIRECTED DESIGN PADA APLIKASI OJESA,evaluasi dan perancangan antarmuka pengguna menggunakan metode goal directed design pada aplikasi ojesa,Teknik Informatika,2021,Irma Safitri,"Ojesa merupakan aplikasi ojek online yang menyediakan layanan antar jemput dan kurir khusus untuk wanita dan anak-anak. Aplikasi Ojesa baru dibangun, oleh karena itu masih perlu dilakukan pengembangan khususnya pada antarmuka pengguna agar pengguna dapat dengan mudah berinteraksi dengan aplikasi....",0
134,Implementasi Dynamic System Development Method (Dsdm) Pada Rancang Bangun Sistem Kotak Penyimpanan Pintar Berbasis Kiosk (Studi Kasus: Penerimaan Paket Itera),implementasi dynamic system development method dsdm pada rancang bangun sistem kotak penyimpanan pintar berbasis kiosk studi kasus penerimaan paket itera,Teknik Informatika,2024,Daffa Praramadhana,"Proses manual dalam penerimaan dan penyimpanan paket di ITERA menghadirkan masalah kompleksitas administrasi dan keamanan. Permasalahan tersebut seperti paket yang tercecer, paket yang menumpuk, paket tertukar, dan paket hilang. Oleh sebab itu dibutuhkan solusi yaitu dengan mengembangkan kotak penyi...",0
