id,title,clean_title,category,year,author,advisor,url,abstract,cluster
11,ANALISIS KINERJA ALGORITMA CNN DAN GRU PADA PREDIKSI CUACA DI PT GREAT GIANT PINEAPPLE,analisis kinerja algoritma cnn dan gru pada prediksi cuaca di pt great giant pineapple,Teknik Informatika,2024,William Rusli,"Winda Yulita, M.Cs.",https://repo.itera.ac.id/depan/submission/SB2406050062,"Saat ini kondisi iklim di Indonesia menjadi sulit ditebak. Penyebab utamanya diperkirakan dikarenakan peningkatan suhu global yang menyebabkan terjadinya perubahan iklim. Perubahan iklim ini memiliki dampak negatif terhadap produksi pertanian. Cuaca yang tidak dapat diprediksi akan berpotensi mempengaruhi hasil panen dan sumber daya yang akan dikeluarkan. Dampak ini tentu tidak menguntungkan bagi PT. GGP yang sangat bergantung pada hasil panen untuk menjaga stabilitas ekonomi mereka. Oleh karena itu, dibutuhkan Machine Learning (ML) untuk menghasilkan informasi iklim sebagai acuan pengambilan keputusan sehingga pengelolaan sumber daya tanaman dapat lebih efisien dan risiko gagal panen dapat diminimalkan. Penelitian ini berfokus untuk mencari model terbaik diantara 2 metode GRU dan CNN. Hasil evaluasi menunjukan bahwa metode GRU merupakan metode paling baik dengan waktu komputasi 68 detik, RMSE sebesar 9.2731, dan MAE sebesar 3.7316. Dibandingkan dengan metode CNN dengan waktu komputasi 34 detik, RMSE sebesar 9.3243, dan MAE sebesar 3.7789.",18
16,"ANALISIS PEMICU GELOMBANG AIR LAUT MENGGUNAKAN K-MEANS CLUSTERING, STUDI KASUS PESISIR PROVINSI LAMPUNG",analisis pemicu gelombang air laut menggunakan k means clustering studi kasus pesisir provinsi lampung,Teknik Informatika,2023,Rahmat Fitriadi,"Meida Cahyo Untoro, S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2301180127,"ABSTRAK Analisis Pemicu Gelombang Air laut menggunakan metode K-means Clustering, Studi Kasus Pesisir Provinsi Lampung Rahmat Fitriadi Panjang garis pantai Provinsi Lampung ± 1.105 km membentuk 4 (empat) wilayah pesisir, yaitu Pantai Barat, Teluk Semaka, Teluk Lampung dan Selat Sunda serta Pantai Timur. Gelombang air laut yang dapat mengakibatkan kerugian materil dan kehilangan nyawa harus diwaspadai. Badan Meteorologi Klimatologi dan Geofisika (BMKG) mempunyai catatan pergerakan cuaca dan ombak di Provinsi Lampung. Data tersebut bersifat acak dan belum memiliki klasterisasi. K-Means merupakan teknik clustering yang tepat diaplikasikan ketika klasterisasi belum diketahui. Hasil pemodelan dari K-Means dapat menjadi acuan oleh pemangku kepentingan maupun pihak yang membutuhkan terkait faktor pemicu gelombang air laut. Penelitian ini menggunakan Teknik Analisis Elbow dan Silhouttee untuk menentukan jumlah kluster. Jumlah kluster yang didapatkan menjadi parameter untuk melakukan clustering. Fitur Kecepatan Angin Maksimum dan Tinggi Gelombang Air Laut (Tide_m) yang dianalisis menggunakan Teknik Elbow menunjukkan nilai dua kluster. Jumlah kluster tersebut didukung oleh Skor Silhouttee sebesar 0.567. K-Means Clustering memodelkan fitur kecepatan angin maksimum dan tinggi gelombang air laut (Tide_m) kedalam dua kelompok kluster, yaitu Angin Durasi Sebentar berada pada (0.96370954, 8.78423237) dan Angin Durasi Lama pada (0.95399187, 14.43089431). Durasi angin mempengaruhi tinggi gelombang dimana gelombang Air Laut (Tide_m) yang disertai durasi angin yang cukup meskipun memiliki Kecepatan Angin Maksimum rendah akan menghasilkan gelombang yang tinggi. Kata Kunci: Clustering, Elbow, K-Means, , Gelombang Air Laut, Silhouttee",18
27,Analisis Perubahan Luas Sampah Pada Tempat Pembuangan Akhir (TPA) Bakung Akibat Perkembangan Kota Bandar Lampung,analisis perubahan luas sampah pada tempat pembuangan akhir tpa bakung akibat perkembangan kota bandar lampung,Teknik Informatika,2019,Naufal Nashshar Lathif (23115023),"Dr. Andri Hernandi, S.T., M.T.",https://repo.itera.ac.id/depan/submission/SB1909270012,"Sampah telah menjadi permasalahan serius di Indonesia. Setiap orang memproduksi sampah tiap harinya. Jumlah penduduk Indonesia yang besar dengan tingkatan pertumbuhan kota yang tinggi mengakibatkan bertambahnya luas sampah. Pola konsumsi masyarakat memberikan kontribusi dengan semakin beragamnya jenis sampah yang dihasilkan. Diantaranya, sampah kemasan yang berbahaya dan sulit terurai oleh proses alam. Tujuan dari penelitian ini yaitu untuk melihat perkembangan luas sampah akibat bertambahnya jumlah penduduk Bandar Lampung pada TPA Bakung pada tahun 2014-2019. Manfaat dari penelitian ini sebagai wawasan bagi masysarakat bahwa semakin banyak manusia berarti semakin banyak juga sampah yang ada. Metode yang digunakan pada penelitian ini yaitu dengan cara mendigitasi sampah-sampah pada citra di TPA Bakung dengan bantuan Sistem Informasi Geografis (SIG). Metode analisis pada penelitian ini menggunakan metode analisis koefisien korelasi dimana analisis ini akan melihat hubungan antara jumlah penduduk Bandar Lampung dan luas sampah pada TPA Bakung. Hasil penelitian ini menunjukan bahwa nilai korelasi antara luas sampah pada TPA Bakung dengan jumlah penduduk Bandar Lampung bernilai 0.9025 dimana nilai tersebut mendekati angka satu. Hasil uji hipotesis menunjukan nilai t hitung lebih kecil dari pada t tabel, maka dapat disimpulkan bahwa hubungan antara luas sampah pada TPA Bakung dengan jumlah penduduk Bandar Lampung sangat tinggi.",18
35,ANALISIS SENTIMEN PUBLIK TERHADAP CALON PRESIDEN REPUBLIK INDONESIA PADA PEMILU 2024 MENGGUNAKAN METODE IndoBERT,analisis sentimen publik terhadap calon presiden republik indonesia pada pemilu 2024 menggunakan metode indobert,Teknik Informatika,2024,Yose Alloisius Saragih,"Meida Cahyo Untoro S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2404260009,"Pemilihan umum (pemilu) yang diadakan setiap lima tahun adalah saat krusial yang menandai perwujudan dalam menegakkan prinsip demokrasi dalam tatanan politik di Indonesia. Dalam konteks demokrasi, popularitas partai politik dan figur politiknya memiliki peran yang tak terbantahkan. Meskipun memiliki visi, misi, dan program yang kuat, seorang politisi atau partai akan kesulitan meraih dukungan tanpa popularitas yang mencukupi. Oleh karena itu, kemampuan berkomunikasi yang efektif menjadi kunci utama dalam memperoleh dukungan dan suara dalam pemilu. Berdasarkan hal tersebut juga banyak warganet yang menyampaikan pendapat mereka di berbagai sosial media seperti twitter (X). Dari pendapat tersebut dapat dilakukan analisis sentimen untuk memperoleh kesimpulan mengenai sentimen warga masyarakat terhadap suatu tokoh calon presiden tersebut. Untuk mengklasifikasi sebuah kalimat diperlukan adanya metode yang bisa mengelompokan suatu sentimen. Metode IndoBERT merupakan metode yang digunakan pada penelitian ini untuk mendapatkan hasil sentimen dengan metode pengujian menggunakan Confusion Matrix yang nantinya akan menghitung nilai akurasi dari metode IndoBERT. Hasil pengujian yang dilakukan dengan kombinasi hyperparameter terbaik pada penelitian ini menghasilkan akurasi yang cukup tinggi yakni sebesar 84%.",18
68,"EVALUASI HYPERPARAMETER TUNING GRID SEARCH, RANDOM SEARCH, DAN TREE PARZEN ESTIMATOR DENGAN XGBOOST UNTUK PREDIKSI CUACA BANDARA RADIN INTEN II",evaluasi hyperparameter tuning grid search random search dan tree parzen estimator dengan xgboost untuk prediksi cuaca bandara radin inten ii,Teknik Informatika,2025,Makruf Alkarkhi,"Meida Cahyo Untoro, S.Kom., M.Kom",https://repo.itera.ac.id/depan/submission/SB2503100009,"Cuaca memiliki pengaruh besar terhadap berbagai aktivitas manusia, seperti pertanian, transportasi, dan konstruksi. Ketidakpastian cuaca dapat menimbulkan risiko, seperti penurunan produktivitas padi, penundaan penerbangan, dan keterlambatan proyek konstruksi. Oleh karena itu, prediksi cuaca yang akurat sangat dibutuhkan untuk mengurangi risiko tersebut. Penelitian ini bertujuan untuk meningkatkan akurasi prediksi cuaca dengan menggunakan algoritma Extreme Gradient Boosting (XGBoost) yang dioptimalkan melalui metode hyperparameter tuning, yaitu Grid Search, Random Search, dan Tree Parzen Estimator (TPE). Dataset yang digunakan adalah data cuaca dari Bandar Udara Radin Inten II. Model dievaluasi berdasarkan metrik accuracy, precision, recall, dan f1-score. Model XGBoost tanpa hyperparameter tuning menghasilkan accuracy sebesar 88,10%. Setelah optimasi, Random Search menunjukkan performa terbaik dengan accuracy 89,43%, precision 85,10%, recall 88,21%, dan f1-score 86,50%. Grid Search unggul dalam recall 88,35%, sedangkan TPE menghasilkan performa yang kompetitif. Kesimpulan dari penelitian ini adalah metode Random Search menjadi pilihan terbaik untuk meningkatkan kinerja model XGBoost dalam prediksi cuaca. Hasil penelitian ini diharapkan dapat mendukung pengambilan keputusan yang lebih akurat dalam sektor-sektor yang terdampak oleh cuaca. Kata Kunci : Prediksi Cuaca, XGBoost, Grid Search, Random Search, Tree Parzen Estimator",18
71,EVALUASI KINERJA CONSTRAINED APPLICATION PROTOCOL (COAP) PADA PERANGKAT INTERNET OF THINGS (IOT) UNTUK MONITORING CUACA REAL-TIME,evaluasi kinerja constrained application protocol coap pada perangkat internet of things iot untuk monitoring cuaca real time,Teknik Informatika,2025,SYABANA MINGGUS NOVIANTOSA,"Ilham Firman Ashari, S.Kom., M.T",https://repo.itera.ac.id/depan/submission/SB2507280035,"Pengamatan cuaca yang akurat dan spesifik sangat dibutuhkan dalam berbagai sektor, namun alat monitoring cuaca seperti Automatic Weather Station (AWS) milik BMKG masih memiliki keterbatasan dalam cakupan wilayah dan pembaruan data secara real-time. Di sisi lain, kualitas jaringan internet di Indonesia masih tergolong memprihatinkan. Penelitian ini bertujuan untuk mengembangkan alat monitoring cuaca berbasis Internet of Things (IoT) dengan menerapkan protokol Constrained Application Protocol (CoAP) yang efisien dalam kondisi jaringan terbatas. Sistem dirancang menggunakan ESP32 yang terhubung dengan DHT22 dan BMP180 untuk mengukur suhu, kelembaban, dan tekanan udara. Data dikirim secara real-time melalui CoAP ke Raspberry Pi sebagai jembatan pengiriman, dan diteruskan ke Google Compute Engine untuk ditampilkan dalam bentuk aplikasi web. Pengujian dilakukan pada dua skenario jaringan, yaitu bandwidth 30 Mbps dan 1 Mbps. Evaluasi kinerja CoAP menggunakan parameter Quality of Service (QoS) seperti packet loss, delay, jitter, dan throughput. Hasil pengujian menunjukkan bahwa CoAP mampu mengirimkan data dengan baik pada kedua kondisi jaringan, dengan nilai QoS yang masuk dalam kategori memuaskan menurut standar TIPHON, yaitu sebesar 93,75%. Kesimpulannya, CoAP merupakan protokol yang layak untuk diterapkan pada alat monitoring cuaca berbasis IoT dengan kondisi jaringan internet terbatas.",18
82,EVALUASI SENTIMEN PUBLIK TERHADAP ANCAMAN RESESI EKONOMI INDONESIA 2023 PADA TWITTER DENGAN LEXICAL BASED DAN MULTINOMIAL NAÏVE BAYES,evaluasi sentimen publik terhadap ancaman resesi ekonomi indonesia 2023 pada twitter dengan lexical based dan multinomial na ve bayes,Teknik Informatika,2024,Muhammad Naseruddin Rasyid,"Meida Cahyo Untoro, S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2401160001,"Tahun 2023 merupakan tahun pemulihan aktivitas ekonomi dimulai dari menurunnya kasus covid-19 dan adanya kebijakan-kebijakan yang dikeluarkan. Seperti kebijakan dari bank sentral yang menaikan suku bunga untuk meredakan kekhawatiran terhadap laju inflasi yang meningkat. Selain dari faktor guncangan ekonomi yang sedang terjadi, terdapat permasalahan konflik sosial juga yang menjadi masalah di tengah masyarakat. Seperti pemutusan hubungan kerja secara massal menurut badan pusat statistik (BPS) sudah lebih dari 146.407 kasus phk. Banyaknya isu yang bertebaran dalam media sosial seperti Twitter mengenai ancaman resesi 2023 menjadikan hal tersebut untuk manipulasi suatu rumor tentang bahaya yang akan terjadi dan menyebabkan suatu kekhawatiran bagi masyarakat terhadap kondisi ekonomi tahun 2023. Dengan adanya permasalahan tersebut menjadi banyaknya masyarakat yang mengutarakan pendapatnya menjadikan suatu sentimen yang diberikan oleh masyarakat mengenai ancaman resesi yang terjadi pada tahun 2023. Sehingga arah dan tujuan dari penelitian ini dilakukan untuk mengevaluasi dari sentimen masyarakat mengenai ancaman resesi yang terjadi pada tahun 2023 dan mendapatkan tingkat keresahan masyarakat dengan menilai sentimen yang diberikan mengarah pada sentimen negatif, positif ataupun netral. Serta menguji keakuratan dari penggunaan algoritma Multinomial Naïve Bayes dalam melakukan klasifikasi sentimen yang dibantu menggunakan Lexical Based dalam melakukan pelabelan data. Pada penelitian ini akan dilakukan proses pengumpulan data dengan 2 periode. Pada periode 1 dilakukan pada bulan Januari hingga Juni dan periode 2 dilakukan pada bulan Juli hingga Desember pada tahun 2023. Selanjutnya data akan dilakukan tahapan pembersihan, pelabelan data menggunakan VADER sentiment, preprocessing, pembobotan kata dengan TF-IDF, pemodelan algoritma Multinomial Naïve Bayes dan evaluasi confusion matrix. Dalam penelitian ini menggunakan 3 model pembagian rasio data latih dan data uji sebesar, 70:30, 80:20 dan 90:10 untuk menguji nilai akurasi model yang didapatkan pada kedua data. Hasil dari penelitian yang dilakukan didapatkan bahwa hasil akurasi terbaik didapatkan pada pembagian data dengan ratio data (70:30) pada data periode 1 dengan nilai akurasi yang didapatkan 69",18
108,IMPLEMENTASI ALAT MONITORING KONDISI LAUT BERBASIS IOT DAN FUZZY TSUKAMOTO UNTUK KLASIFIKASI KEAMANAN LAUT (STUDI KASUS: TELUK KILUAN LAMPUNG),implementasi alat monitoring kondisi laut berbasis iot dan fuzzy tsukamoto untuk klasifikasi keamanan laut studi kasus teluk kiluan lampung,Teknik Informatika,2023,Andhika Wibawa Bhagaskara,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2307280008,"Kondisi laut merupakan salah satu faktor penting bagi nelayan dan masyarakat Teluk Kiluan dalam menjalankan aktivitas sehari-harinya. Meski begitu, kondisi laut seringkali tidak dapat diprediksi secara pasti dan berpotensi membahayakan manusia. Untuk dapat memprediksi kategori keamanan laut, terdapat beberapa parameter yang dapat digunakan, diantaranya yaitu kecepatan angin, kecepatan gelombang, dan ketinggian gelombang. Dalam penelitian ini, parameter-parameter tersebut diukur menggunakan sensor GY-86 (MPU6050), wind vane, anemometer, HMC5883L, dan mikrokontroler ESP32. Alat-alat tersebut diletakkan pada keramba rumpon yang terletak di tengah laut serta diproses menggunakan fuzzy Tsukamoto agar dapat menghasilkan 3 kategori yang berbeda (aman, waspada, dan berbahaya). Hasil tersebut kemudian disimpan ke dalam server Firebase dan menghasilkan 40 sampel data dengan akurasi prediksi kategori fuzzy sebesar 72.5% serta skor F1 sebesar 0.535 (macro-average) dan 0.725 (micro-average). Selain kategori keamanan laut, didapatkan juga akurasi dari masing-masing sensor yaitu 79.236% untuk anemometer, 82.039% untuk wind vane dan HMC5883L, serta 28.02% untuk MPU6050. Meski begitu, beberapa hasil ini mungkin perlu ditinjau kembali karena belum dites sepenuhnya pada berbagai kondisi laut dalam waktu yang lama.",18
161,IMPLEMENTASI PERANGKAT PENDETEKSI KEBOCORAN GAS LPG (STUDI KASUS: PANGKALAN GAS LPG IDA MUSTOPO),implementasi perangkat pendeteksi kebocoran gas lpg studi kasus pangkalan gas lpg ida mustopo,Teknik Informatika,2025,Muhammad Farhan,"Radhinka Bagaskara, S.Si.Kom., M.Si., M.Sc.",https://repo.itera.ac.id/depan/submission/SB2510130019,Gas LPG dipakai hampir di semua lapisan Masyarakat untuk memasak. Tetapi gas ini rentan untuk terjadi kebocoran. Maka diperlukan alat untuk mendeteksi kebocoran gas LPG yang mendeteksi sebelum kebocoran sebelum sampai ke tangan Masyarakat. Oleh sebab itu dibuatlah proyek tugas akhir dengan judul “IMPLEMENTASI PERANGKAT PENDETEKSI KEBOCORAN GAS LPG (STUDI KASUS: PANGKALAN GAS LPG IDA MUSTOPO)”. Alat yang dikembangkan memanfaatkan microcontroller Arduino Uno dan ESP32 dan sensor MQ2 dan DHT11. Sistem notifikasinya melalui buzzer dan notifikasi ke Telegram. Nilai kandungan gas ditampilkan di LCD I2C pada alat. Sistem akan mengirimkan notifikasi buzzer dan Telegram Ketika kadar gas sudah mencapai lebih dari 150 ppm. Pengguna juga dapat mengirimkan permintaan monitoring ruangan melalui Telegram. Alat ini bertenaga baterai 9V yang dapat di charge type-c. Pengujian dilakukan dengan mengambil 20 sample tabung gas LPG. Hasil yang didapatkan tidak ada tanda-tanda kebocoran tabung gas LPG. Pengujian dilakukan dengan sample tabung gas LPG yang bocor dan alat mampu mengirimkan notifikasi kebocoran ditandai dengan suara buzzer yang berbunyi dan notifikasi ke Telegram. Diharapkan alat mampu dikembangkan lagi dengan mengembangkan aplikasi berbasis android yang mampu terkoneksi ke internet.,18
162,IMPLEMENTASI PERANGKAT PERINGATAN DINI UNTUK MENDETEKSI PEMBOROSAN KONSUMSI LISTRIK,implementasi perangkat peringatan dini untuk mendeteksi pemborosan konsumsi listrik,Teknik Informatika,-1,Mochammad Andrian Maulana,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2206090053,"IMPLEMENTASI PERANGKAT PERINGATAN DINI UNTUK MENDETEKSI PEMBOROSAN KONSUMSI LISTRIK Mochammad Andrian Maulana (14115031) Pembimbing 1 : Andika Setiawan, S.Kom., M.Cs. Pembimbing 2 : Eko Dwi Nugroho, S.Kom., M.Cs. ABSTRAK Listrik telah menjadi kebutuhan primer bagi manusia terlihat dari ketergantungan manusia mengkonsumsi listrik dalam beraktivitas sehari-hari. Perilaku boros energi listrik sangat berdampak kepada ekonomi seiring dengan kenaikan tarif dasar listrik atau TDL. Untuk menekan dampak negatif dari perilaku boros listrik dibutuhkan kesadaran berperilaku hemat listrik. Dalam penelitian ini, sistem peringatan dini akan dikembangkan untuk meningkatkan kesadaran akan perilaku hemat energi. Sistem membutuhkan data input berupa penggunaan daya listik selama 70 hari terakhir yang diterima dari perangkat tertanam dan menggunakan model estimasi Facebook Prophet untuk membentuk pola penggunaan daya listrik pengguna. Hasil dari penelitian ini adalah sebuah sistem yang dapat mengingatkan pengguna tentang potensi pemborosan konsumsi daya listrik di masa depan dalam bentuk pesan notifikasi dari aplikasi Telegram. Kata kunci: Sistem Tertanam , Sistem Peringatan Dini, Pemborosan Listrik, Facebook Prophet, Telegram. IMPLEMENTATION OF EARLY WARNING DEVICES TO DETECT WASTE ELECTRICITY CONSUMPTION Mochammad Andrian Maulana (14115031) Adviser 1 : Andika Setiawan, S.Kom., M.Cs. Adviser 2 : Eko Dwi Nugroho, S.Kom., M.Cs. ABSTRACT Electricity has become a primary need for humans as seen from the dependence of humans on consuming electricity in their daily activities. The wasteful behavior of electrical energy has an impact on the economy along with the increase in the basic electricity tariff or TDL. To suppress the negative impact of wasting electricity, awareness is needed to save electricity. In this study, an early warning system will be developed to raise awareness of energy-saving behavior. The system requires input data in the form of electricity usage for the last 70 days received from the embedded device and uses the Facebook Prophet estimation model to shape the user's electrical power usage pattern. The result of this research is a system that can remind users about the potential for wasting electricity consumption in the future in the form of notification messages from the Telegram application. Keywords: Embedded System, Early Warning System, Waste of Electricity, Facebook Prophet, Telegram.",18
