id,title,clean_title,category,year,author,advisor,url,abstract,cluster
63,EKSTRAKSI DAN KLASIFIKASI KATA DASAR DARI DOKUMEN BERBAHASA BATAK TOBA DENGAN ALGORITMA PORTER STEMMER DAN LIKELIHOOD,ekstraksi dan klasifikasi kata dasar dari dokumen berbahasa batak toba dengan algoritma porter stemmer dan likelihood,Teknik Informatika,2024,Jeans Prima Simaremare,"Aidil Afriansyah S.Kom.,M.Kom",https://repo.itera.ac.id/depan/submission/SB2406050085,"Penelitian ini bertujuan mengatasi minimnya akses sumber literasi budaya lokal, khususnya Bahasa Batak Toba, dengan teknologi informasi. Fokusnya adalah pelestarian budaya Batak Toba di Sumatera Utara, Indonesia, di tengah penggeseran teknologi terhadap penggunaan bahasa lokal. Tantangan utamanya adalah kurangnya platform digital untuk bahasa Batak Toba. Penelitian sebelumnya menggunakan algoritma Porter Stemmer untuk ekstraksi kata dasar, namun masih ada kekurangan. Penelitian ini mengusulkan ekstraksi kata dasar dan pengklasifikasian menggunakan algoritma Porter Stemmer dan likelihood. Tahapannya meliputi identifikasi masalah, studi literatur, pengumpulan data, pengembangan sistem, pengujian, dan evaluasi. Sistem dikembangkan menggunakan PHP dan MySQL, diuji dengan black box testing. Hasilnya menunjukkan sistem berjalan dengan baik. Algoritma Porter Stemming mampu mengidentifikasi kata dasar dengan baik, sedangkan algoritma likelihood mencapai akurasi 100%. Evaluasi menunjukkan sistem memenuhi harapan, namun perbaikan perlu dilakukan, seperti membatasi proses stemming hanya pada kata-kata dalam kamus data dan meningkatkan modul perhitungan likelihood. Kesimpulannya, penerapan algoritma Porter Stemmer berhasil menampilkan kata dasar dan definisi dari kata, dengan akurasi perhitungan likelihood mencapai 100%. Namun, perbaikan diperlukan untuk meningkatkan kinerja sistem, khususnya dalam proses stemming dan perhitungan likelihood",2
97,Identifikasi Ekspresi Wajah Menggunakan Convolutional Neural Network,identifikasi ekspresi wajah menggunakan convolutional neural network,Teknik Informatika,2023,Della Salsabila,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2309210030,"Ekspresi wajah merupakan salah satu bentuk komunikasi nonverbal yang dapat mengungkapkan keadaan emosi seseorang kepada pengamat. Emosi adalah bagian yang sulit diketahui secara langsung. Dalam bidang humaniora seperti psikologi, HRD, dan petugas investigasi dari pihak kepolisian sering mengalami kesulitan dalam menentukan emosi dari ekspresi wajah lawan bicaranya, seringkali orang salah mengartikan perasaan seseorang karena hanya melihatnya sesaat. Untuk menghindarinya, maka perlu memperhatikan perubahan wajah seseorang seiring berjalannya waktu. Namun hal ini tidak bisa dilakukan oleh masyarakat secara langsung dikarenakan dapat mengalami kejenuhan sehingga menimbulkan ketidaktepatan. Dalam penelitian ini dibangun sebuah model yang dapat melakukan identifikasi ekspresi wajah menggunakan Convolutional Neural Network dengan arsitektur ResNet50. Model ini dapat mengidentifikasi 7 kelas ekspresi wajah yaitu terkejut, marah, senang, jijik, netral, sedih, dan takut. Penelitian ini menggunakan dataset sebanyak 36.887 citra dengan 70",2
98,Identifikasi Kalimat Penting untuk Ekstraksi Informasi 5W1H pada Teks Berita dengan Sequence Labeling,identifikasi kalimat penting untuk ekstraksi informasi 5w1h pada teks berita dengan sequence labeling,Teknik Informatika,2017,Najib Darmawan (14113001),"Dr. Masayu Leylia Khodra S.T., M.T.",https://repo.itera.ac.id/depan/submission/SB1803210007,"Ekstraksi Informasi 5W1H mengidentifikasi siapa melakukan apa, kapan, dimana, mengapa, dan bagaimana. Suatu teks berita perlu distrukturkan sehingga akan didapatkan pemahaman yang lebih baik terhadap teks berita itu sendiri. Melabeli teks berita Bahasa Indonesia dengan menggunakan notasi BIO (Begin In Others) memberikan nilai f-measure tertinggi sebesar 0,666. Pada tugas akhir ini, akan diteliti apakah dengan melakukan pemilihan kalimat penting dari suatu artikel dapat meningkatkan kinerja sequence labeling dengan notasi BIO dalam mengekstraksi informasi 5W1H, serta untuk menemukan kombinasi fitur terbaik pada tahapan identifikasi kalimat penting. Setiap kalimat dari suatu berita akan diekstraksi fitur berdasarkan fitur surface dan semantic untuk menghasilkan model identifikasi kalimat penting. Fitur-fitur tersebut adalah term weight, sentence location, sentence length, number of named entity, title words overlap rate, dan informativeness of news headline. N kalimat penting kemudian ditokenisasi, diekstraksi fitur, dan dilabeli dengan menggunakan sequence labeling berdasarkan notasi BIO. Fitur yang digunakan dibagi menjadi 6 grup fitur yaitu leksikal, POS tag, NE tag, left prediction, DateTimePattern, dan TitleToken. Fitur terbaik untuk mengklasifikasikan kalimat penting yaitu term weight dan sentence location. Hasil ekstraksi informasi terbaik didapatkan dengan menggunakan Naïve Bayes dan menyeleksi fitur is time pattern, memberikan nilai f-measure sebesar 0.860. Identifikasi kalimat penting berhasil meningkatkan nilai f-measure ekstraksi informasi 5W1H yang dilakukan dengan sequence labeling.",2
99,Identifikasi Karakter Nomor Polisi Pada Plat Kendaraan Menggunakan Convolutional Neural Networks (CNN),identifikasi karakter nomor polisi pada plat kendaraan menggunakan convolutional neural networks cnn,Teknik Informatika,2021,Miftakhul Aziz,"Dr. Masayu Leylia Khodra, S.T., M.T.",https://repo.itera.ac.id/depan/submission/SB2102010016,"Indonesia merupakan negara berkembang yang memiliki tingkat populasi kendaraan cukup banyak dengan peningkatan yang signifikan setiap tahunnya. Dalam setiap kendaraan bermotor seperti mobil atau roda dua diwajibkan memiliki sebuah tanda pengenal berupa plat atau Tanda Nomor Kendaraan Bermotor (TNKB) yang dipasang pada masing-masing kendaraan bermotor. Oleh karena itu, dengan total kendaraan yang cukup banyak tentunya menimbulkan permasalahan seperti pencatatan nomor polisi pada plat kendaraan. Pada penelitian ini dilakukan identifikasi karakter pada plat kendaraan menggunakan CNN. Penelitian ini dilakukan dengan membangun model objek deteksi dan model identifikasi karakter, model objek deteksi dilatih dengan single slot detection (SSD) ResNet-50 box predictor dari arsitektur CNN yang membutuhkan waktu 26 jam untuk menyelesaikan 100.000 steps dan diperoleh akurasi mAP 94-96%. Sedangkan untuk model identifikasi karakter dilatih dari arsitektur CNN MobileNet V2 dengan 30 epochs dan diperoleh akurasi 98%. Untuk identifikasi karakter diperoleh akurasi 100% pada 99 gambar yang artinya setiap karakter dalam plat tersebut berhasil dikenali, dan akurasi paling rendah diperoleh 88% pada 1 gambar.",2
115,Implementasi Algoritma Freeman Chain Code dan Support Vector Machine (SVM) pada Identifikasi Aksara Lampung,implementasi algoritma freeman chain code dan support vector machine svm pada identifikasi aksara lampung,Teknik Informatika,2022,Pasha Abdul Khalid,"Mohamad Idris, S.Si., M.Sc.",https://repo.itera.ac.id/depan/submission/SB2201310074,"Aksara Lampung adalah salah satu warisan kebudayaan yang dimiliki oleh provinsi Lampung. Aksara Lampung terdiri dari 20 induk aksara Lampung. Pelestarian aksara Lampung yang dilakukan oleh pemerintah provisi Lampung yaitu memasukkan kurikulum bahasa Lampung dari sekolah hingga sekolah menengah, tetapi hal ini dinilai kurang optimal. Adapun upaya lain dapat yang dilakukan untuk melestarikan aksara Lampung dengan penggunaan teknologi. Teknologi tersebut adalah machine learning yang dapat mengenali atau identifikasi pola citra. Pada penelitian ini akan dibangun model pembelajaran yang mampu mengidentifikasi citra dari aksara Lampung. Citra yang yang dapat diidentifikasi oleh model merupakan induk aksara Lampung berupa tulisan tangan. Tahapan awal penelitian adalah akuisisi data citra aksara Lampung menggunakan aplikasi dari smartphone. Tahap selanjutnya adalah Preprocessing data citra yang terdiri dari Resizing, Grayscaling dan binerisasi. Selanjutnya data citra diekstraksi, penelitian ini menggunakan algoritma Freeman Chain Code untuk mengekstraksi fitur unik yang dimiliki oleh citra. Fitur unik yang dihasilkan berupa kode rantai dengan Panjang rantai yang berbeda-beda oleh sebab itu dilakukan normalisasi. Tahap terakhir yaitu klasifikasi citra menggunakan algoritma Support Vector Machine. Berdasarkan penelitian ini akurasi model dalam mengidentifikasi citra induk aksara Lampung adalah sebesar 70,3%.",2
117,Implementasi Algoritma K-NN dan Ektraksi Ciri ORB Pada Aplikasi Pengenalan Relief Candi (Studi Kasus: Candi Borobudur),implementasi algoritma k nn dan ektraksi ciri orb pada aplikasi pengenalan relief candi studi kasus candi borobudur,Teknik Informatika,2022,Rana Diastri Zahrina,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2208180003,"Candi Borobudur merupakan candi Budha yang terkenal di Indonesia sebagai tujuan wisata.Candi ini memiliki 1.460 relief serta 504 arca Budha yang mana setiap reliefnya memiliki infromasi dan cerita yang berbeda-beda. Jumlah relief yang tidak sedikit membuat banyak wisatawan yang tidak mengetahui cerita dibalik relief-relief tersebut. Tujuan dari penelitian ini adalah untuk mengimplementasikan metode K-NN dan ORB pada sebuah aplikasi yang akan membantu wisatawan untuk dapat mengidentifikasi relief yang ada pada Candi Borobudur dengan performa atau waktu komputasi dalam proses identifikasi yang lebih baik dari penelitian sebelumya dengan metode yang berbeda, yaitu sebesar 59.55 detik, serta menguji kebergunaan dari aplikasi. Penelitian ini memanfaatkan library OpenCV, serta menggunakan K-NN sebagai metode klasifikasi relief candi Borobudur dan metode ORB untuk ekstrasi ciri dari citra relief. Pengujian dilakukan dengan metode blackbox testing, serta menggunakan SUS untuk menguji kebergunaan aplikasi. Hasil yang didapat berupa sebuah aplikasi identifikasi relief candi yang mengimplementasikan metode K-NN dengan nilai k=3 dan ORB. Dari pengujian fungsionalitas menggunakan black-box testing, didapatkan nilai akurasi identifikasi sebesar 80%, dimana hasil yang didapatkan ini tidak lebih baik dari penelitian sebelumnya karena menggunakan metode K-NN dan ORB. Penggunaan kedua metode tersebut juga menyebabkan hasil performa yang didapatkan menjadi lebih baik dari penelitian sebelumnya, yaitu 5 detik. Hasil pengujian SUS didapatkan nilai rata-rata sebesar 77.7 yang membuat aplikasi masuk ke dalam range penilaian kebergunaan good atau sudah baik. Aplikasi masih bisa dikembangkan kembali agar menghasilkan sistem yang lebih baik. Kata kunci: Aplikasi, Sistem, Relief, Candi Borobudur, Identifikasi, K-NN, ORB",2
120,Implementasi Algoritme You Only Look Once Versi 3-Tiny (YOLOv3-Tiny) Untuk Menerjemahkan Citra Postur Tangan Sistem Isyarat Bahasa Indonesia (SIBI) Ke Dalam Huruf,implementasi algoritme you only look once versi 3 tiny yolov3 tiny untuk menerjemahkan citra postur tangan sistem isyarat bahasa indonesia sibi ke dalam huruf,Teknik Informatika,2020,Rahmad Nurhuda,"Rajif Agung Yunmar, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2102050021,"Bahasa isyarat merupakan bahasa yang sering digunakan oleh orang yang memiliki keterbatasan pendengaran dengan memanfaatkan postur tangan. Salah satu bahasa isyarat yang digunakan di Indonesia yaitu Sistem Isyarat Bahasa Indonesia (SIBI). Namun, tidak semua orang memahami bahasa isyarat sehingga diperlukan penerjemah citra postur tangan yang mengindikasikan SIBI ke dalam huruf. Untuk melakukan penerjemahan, penelitian ini menggunakan algoritme You Only Look Once versi 3-Tiny (YOLOv3-Tiny). Penelitian ini memiliki fokus untuk menerjemahkan huruf A-Z kecuali huruf J dan Z. Penelitian ini meliputi tahap training data yang kemudian menghasilkan model lalu dihitung akurasi dari model tersebut. Kemudian dilakukan proses penerjemahan citra postur tangan ke dalam huruf menggunakan aplikasi mobile. Hasil penerjemahan dapat dilihat secara waktu nyata pada layar aplikasi mobile. Akurasi yang dapat dihasilkan pada penelitian ini mencapai 100% untuk akurasi model yang diuji menggunakan data testing dan akurasi pada pengujian menggunakan aplikasi memiliki akurasi terbesar yaitu 92%. Kata kunci: Bahasa isyarat, SIBI, You Only Look Once versi 3, training data, waktu nyata.",2
126,Implementasi Augmented Reality Sebagai Media Belajar Sistem Isyarat Bahasa Indonesia Untuk Anak Penyandang Tuli Menggunakan Marker Based Tracking,implementasi augmented reality sebagai media belajar sistem isyarat bahasa indonesia untuk anak penyandang tuli menggunakan marker based tracking,Teknik Informatika,2023,Widodo Widodo,"Ilham Firman Ashari, S.Kom., M.T.",https://repo.itera.ac.id/depan/submission/SB2306080149,"Tuli merupakan kondisi seseorang yang kehilangan pendengarannya. Sehingga manusia yang memiliki kondisi tersebut akan berkomunikasi dengan bahasa isyarat. Oleh karena itu, bahasa isyarat penting dipelajari sejak dini. Namun, terdapat kesulitan pada pembelajaran dikarenakan peserta didik tidak mengerti kosakata yang diberikan. Penelitian ini dilakukan untuk mengimplementasikan augmented reality dengan metode marker based tracking dalam media belajar SIBI serta mengetahui hasil pengujian dan evaluasi sistem yang telah dibangun berdasarkan pengujian usability. Pengimplementasian metode marker based tracking pada sistem yang dibangun menggunakan 113 marker serta video peragaan bahasa isyaratnya. Penerapan tersebut menggunakan Vuforia dan Unity untuk meghasilkan sebuah sistem yang berbasis aplikasi android. Sistem yang dihasilkan memiliki 2 halaman yaitu halaman menu dan halaman scanner. Pada halaman menu, terdapat tombol informasi dan petunjuk yang masing-masing akan menampilkan pop-up yang berbeda saat ditekan. Pada halaman scanner, pengguna dapat mengarahkan kamera pada marker dan sistem akan menampilkan video peragaan bahasa isyarat dari marker yang dipindai. Menggunakan pengujian black box, pengujian dilakukan menggunakan 4 sampel yang berbeda pada setiap aspek pengujiannya. Berdasarkan pengujian yang telah dilakukan didapatkan bahwa kebutuhan fungsional dapat bekerja 100%. Namun terdapat beberapa batasan seperti waktu yang dibutuhkan dalam mendeteksi marker yaitu 1,4 detik, minimal jarak pendeteksian 10 cm, marker perlu terlihat minimal 60% tanpa adanya coretan, cahaya minimal 1 lux dan sudut yang optimal senilai 45o. Dengan menggunakan pengujian usability sistem mendapatkan nilai sebesar 69,17. Sehingga sistem dapat diterima oleh pengguna.",2
141,IMPLEMENTASI METODE CNN-BILSTM PADA DETEKSI UJARAN KEBENCIAN DALAM BAHASA INDONESIA PADA PLATFORM X,implementasi metode cnn bilstm pada deteksi ujaran kebencian dalam bahasa indonesia pada platform x,Teknik Informatika,2025,Zahra Areefa Ananta,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2506090009,"Perkembangan media sosial telah mempermudah penyebaran informasi, namun juga meningkatkan potensi penyebaran ujaran kebencian berbasis agama, ras, fisik, jenis kelamin, dan bentuk penghinaan lainnya. Deteksi manual terhadap ujaran kebencian menjadi tidak efektif akibat besarnya volume percakapan di media sosial. Oleh karena itu, penelitian ini bertujuan untuk mengimplementasikan dan mengevaluasi model hybrid Convolutional Neural Network–Bidirectional Long Short-Term Memory (CNN-BiLSTM) dalam mendeteksi ujaran kebencian secara otomatis pada Platform X. Proses penelitian mencakup pengambilan dataset secara sekunder, preprocessing teks, embedding fasttext pre-trained, pelatihan model CNN-BiLSTM, serta pengujian performa menggunakan metrik akurasi, precision, recall, dan f1-score. Hasil pengujian menunjukkan bahwa Model hybrid CNN-BiLSTM mampu memprediksi komentar baru dengan akurasi sebesar 0.72. Hasil evaluasi lebih lanjut menunjukkan bahwa model ini mencapai precision sebesar 0.74, recall sebesar 0.72, dan F1-score sebesar 0.72.",2
142,Implementasi Metode Convolutional Neural Network (CNN) Untuk Deteksi Warna Objek Real-Time Sebagai Solusi Bagi Penyandang Buta Warna,implementasi metode convolutional neural network cnn untuk deteksi warna objek real time sebagai solusi bagi penyandang buta warna,Teknik Informatika,2025,Dila Ayu Prastita,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2506220022,"Penyandang buta warna kerap kesulitan membedakan warna tertentu, sehingga mengganggu aktivitas harian. Penelitian ini bertujuan untuk mengembangkan model deteksi warna objek secara real-time menggunakan metode Convolutional Neural Network (CNN) sebagai solusi. Proses penelitian mencakup pengumpulan dataset warna objek, preprocessing gambar, pelatihan tiga model CNN (VGG16, Xception, dan NASNet Mobile), evaluasi performa menggunakan metrik akurasi, precision, recall, dan F1-score, implementasi model terbaik berbasis kamera, serta pengujian terhadap objek nyata. Hasil pengujian menunjukkan bahwa NASNet Mobile memberikan performa terbaik dengan akurasi sebesar 0.88 dan waktu prediksi 2 menit 22 detik untuk 2904 gambar. Model Xception menghasilkan akurasi 0.86 dengan waktu prediksi 4 menit 22 detik, sementara VGG16 mencatat akurasi 0.90 dengan waktu prediksi 10 menit 9 detik. Model terbaik, NASNet Mobile, kemudian diterapkan dalam model deteksi warna objek secara real-time berbasis kamera. Evaluasi implementasi dilakukan pada 20 objek nyata dan menunjukkan model berhasil mendeteksi warna serta menampilkan namanya secara langsung di layar.",2
