id,title,clean_title,category,year,author,abstract_snippet,cluster
4,Analisa Penggunaan Rangkaian Skincare dengan Algoritma Apriori (Studi Kasus : Mahasiswa dan Mahasiswi Institut Teknologi Sumatera),analisa penggunaan rangkaian skincare dengan algoritma apriori studi kasus mahasiswa dan mahasiswi institut teknologi sumatera,Teknik Informatika,2021,Fristy Riani Puspitasari,"Setiap orang pasti ingin memiliki kulit wajah yang sehat dan juga indah. Tetapi bagi beberapa orang, kulit yang sehat dan indah tidaklah cukup memuaskan dan tetap harus diimbangi dengan perawatan wajah agar dapat memiliki wajah yang cantik. Perawatan kulit wajah adalah salah satu usaha yang dilakuka...",1
5,ANALISA PERBANDINGAN METODE KOMPRESI PESAN DENGAN METODE LZW DAN DEFLATE PADA PROSES PENYISIPAN CITRA DIGITAL MENGGUNAKAN METODE STEGANOGRAFI BPCS,analisa perbandingan metode kompresi pesan dengan metode lzw dan deflate pada proses penyisipan citra digital menggunakan metode steganografi bpcs,Teknik Informatika,2023,Citra Amelia,Pengiriman data yang kurang aman memungkinkan orang lain untuk mencuri informasi demi mencari keuntungan pribadi. Penggunaan metode steganografi Bit Plane Complexity Segmentation (BPCS) digunakan untuk penyembunyian pesan atau data rahasia dikarenakan BPCS dapat menyisipkan pesan tanpa merusak kuali...,1
12,ANALISIS KOMPARATIF AES-256 DAN CHACHA20 DALAM GRAPH STEGANOGRAPHY UNTUK PENGAMANAN TEKS,analisis komparatif aes 256 dan chacha20 dalam graph steganography untuk pengamanan teks,Teknik Informatika,2025,MUHAMMAD FARHAN ANNAUFAL,"Perkembangan teknologi digital yang pesat mempermudah pertukaran data, namun juga meningkatkan risiko kebocoran dan penyalahgunaan informasi, sehingga keamanan data menjadi aspek yang sangat penting. Salah satu metode yang digunakan untuk menjaga kerahasiaan data adalah steganografi. Graph Steganogr...",1
14,Analisis Metode Ward Pada Teknik Oversampling MWMOTE Dalam Upaya Penanggulangan Imbalance data Kualitas Air Tanah,analisis metode ward pada teknik oversampling mwmote dalam upaya penanggulangan imbalance data kualitas air tanah,Teknik Informatika,-1,Laila Noer Islami Hidayatullah,"Maraknya penggunaan internet dapat membuat jumlah data akan terus bertambah, sehingga diperlukan suatu proses yang dapat mempermudah pengolahan data dalam jumlah besar. Proses tersebut disebut dengan data mining, dimana dalam proses data mining terdapat sebuah metode bernama klasifikasi yang melakuk...",1
26,Analisis Perbandingan Watermarking Video Berformat MP4 Menggunakan Metode Discrete Wavelet Transform dan Spread Spectrum,analisis perbandingan watermarking video berformat mp4 menggunakan metode discrete wavelet transform dan spread spectrum,Teknik Informatika,2021,Rada Safta Fathona,ABSTRAK Steganografi yaitu teknik yang menyembunyikan suatu pesan didalam suatu citra digital. Penggunaan teknologi beserta internet dengan cepat berkembang sehingga dapat menyebabkan suatu pemalsuan atau penyebaran file citra tanpa dicantumkan sumbernya bahkan mengakui hak cipta suatu file citra...,1
32,ANALISIS SENTIMEN PADA DATA TWITTER UNTUK KEBENCANAAN MENGGUNAKAN ALGORITMA SUPPORT VECTOR MACHINE (SVM),analisis sentimen pada data twitter untuk kebencanaan menggunakan algoritma support vector machine svm,Teknik Informatika,2025,ILHAM YOGA PRATAMA,"Saat terjadi bencana, twitter menjadi salah satu media utama penyampaian informasi dan opini bagi masyarakat secara cepat. Namun, besarnya jumlah data yang diunggah menyebabkan informasi yang penting sering kali tenggelam di tengah banyaknya unggahan yang tidak relevan. Oleh karena itu penelitian in...",1
38,Analisis Sentimen Terhadap Peraturan Menteri Pendidikan dan Kebudayaan Menggunakan Support Vector Machine Berbasis Particle Swarm Optimization,analisis sentimen terhadap peraturan menteri pendidikan dan kebudayaan menggunakan support vector machine berbasis particle swarm optimization,Teknik Informatika,2022,Rutlima Sinaga,"Media sosial adalah sarana untuk berinteraksi antar pengguna dengan menciptakan konten informasi, membagikan dan menerimanya dengan media aplikasi berbasis internet. Media sosial digunakan untuk beriteraksi dari satu orang ke orang lain, begitu juga pemerintah. Interaksi dilakukan melalui fitur kome...",1
40,ANALISIS SENTIMEN ULASAN APLIKASI GETCONTACT MENGGUNAKAN RANDOM FOREST DENGAN EKSTRAKSI FITUR WORD2VEC,analisis sentimen ulasan aplikasi getcontact menggunakan random forest dengan ekstraksi fitur word2vec,Teknik Informatika,2025,FAUSTINE ELVARETTA TAMBILA,"Kemajuan teknologi di era digital membawa dampak positif dan negatif, terutama dalam perlindungan data pribadi. Ancaman seperti panggilan spam dan phishing melalui SMS berpotensi mengganggu dan menyebabkan kerugian finansial. Untuk mengatasi masalah ini, Getverify LDA, perusahaan teknologi di Lisbon...",1
43,Aplikasi Pencari Bantuan Saat Diperjalanan Pada Pengguna Terdekat Berbasis Android Menggunakan Metode Modified Waterfall,aplikasi pencari bantuan saat diperjalanan pada pengguna terdekat berbasis android menggunakan metode modified waterfall,Teknik Informatika,2022,Harley Davidson Sibarani,"Perjalanan yang aman dan tanpa hambatan ke suatu tujuan adalah hal yang selalu diinginkan oleh para pengendara, namun kenyataannya banyak pengguna kendaraan yang mengalami kendala saat di perjalanan. Penelitian ini bertujuan untuk membuat aplikasi pada smartphone berbasis android yang dapat me...",1
51,DETEKSI BERITA HOAX MENGGUNAKAN METODE SUPPORT VECTOR MACHINES PADA BERITA DI PROVINSI LAMPUNG,deteksi berita hoax menggunakan metode support vector machines pada berita di provinsi lampung,Teknik Informatika,2024,Said Rizky Abizard,"Kemajuan internet yang cepat telah mengubah banyak aspek kehidupan, termasuk cara kita berkomunikasi. Internet tidak hanya memfasilitasi komunikasi tetapi juga berfungsi sebagai saluran efisien untuk menyebarkan informasi, memungkinkan masyarakat untuk mengakses dan menerima informasi dengan cepat d...",1
52,Deteksi Citra Stiker Kendaraan Pada Pegawai Menggunakan Metode K-Nearest Neighbour (K-NN) Pada Citra Digital (Studi Kasus: ITERA),deteksi citra stiker kendaraan pada pegawai menggunakan metode k nearest neighbour k nn pada citra digital studi kasus itera,Teknik Informatika,2021,Nurul Fauzia Azizah,Dalam perkembangan teknologi informasi terutama pada bidang computer vision saat ini berkembang semakin pesat. Salah satunya penerapan dalam pengenalan pola atau deteksi pada objek stiker ITERA kendaraan pegawai. Saat ini stiker belum dimaanfaatkan secara optimal sehingga perlu adanya pemaanfaat cit...,1
53,DETEKSI DAN MITIGASI DISTRIBUTED DENIAL OF SERVICE (DDOS) MENGGUNAKAN FUZZY LOGIC MAMDANI,deteksi dan mitigasi distributed denial of service ddos menggunakan fuzzy logic mamdani,Teknik Informatika,2021,Reza Aji Pratama,"Perkembangan teknologi internet saat ini berkembang dengan begitu pesat dimana tidak hanya dimanfaatkan sebagai sarana berkomunikasi saja, namun sudah mulai digunakan untuk kebutuhan komersial. Seiring perkembangannya internet, terdapat pula kejahatan cyber yang dapat mengancam aktivitas yang terjad...",1
54,Deteksi Distibuted Denial of Service (DDoS) Menggunakan Fuzzy Logic Sugeno,deteksi distibuted denial of service ddos menggunakan fuzzy logic sugeno,Teknik Informatika,2021,Meiji Suryadi,"ABSTRAK Dalam dunia teknologi saat ini informasi sangatlah mudah untuk didapatkan, salah satunya adalah dengan menggunakan internet, Internet dapat digunakan dengan untuk mengkases website yang menyimpan banyak informasi baik berupa teks, angka maupun gambar. Namun dengan berkembangnya teknologi,...",1
60,Digital Watermarking pada Domain Discrete Wavelet Transform dan Singular Value Decomposition dengan Citra Teks pada Gambar Menggunakan Arnold Transform,digital watermarking pada domain discrete wavelet transform dan singular value decomposition dengan citra teks pada gambar menggunakan arnold transform,Teknik Informatika,2026,Adriel Gideon Benedict Sirait,"Pesatnya perkembangan teknologi multimedia menyebabkan citra digital menjadi rentan terhadap tindakan plagiasi, manipulasi, dan klaim kepemilikan ilegal. Digital watermarking hadir sebagai solusi perlindungan hak cipta, namun metode konvensional sering kali mengalami kegagalan dalam mempertahankan i...",1
62,DIGITALISASI BUDAYA DALAM BENTUK PERMAINAN EDUKASI DENGAN MENGGUNAKAN ALGORITMA A*,digitalisasi budaya dalam bentuk permainan edukasi dengan menggunakan algoritma a,Teknik Informatika,2021,Muhammad Hamzah,Perkembangan budaya pada zaman digital ini begitu pesatnya. Perkembangan ini terlihat dari perubahan budaya dan pendidikan. Pada zaman digital saat ini mengubah pola hidup masyarakat sehingga mempengaruhi pelestarian budaya dan pendidikan. Untuk mengimbangi perubahan dibutuhkan perubahan cara untuk...,1
98,Identifikasi Kalimat Penting untuk Ekstraksi Informasi 5W1H pada Teks Berita dengan Sequence Labeling,identifikasi kalimat penting untuk ekstraksi informasi 5w1h pada teks berita dengan sequence labeling,Teknik Informatika,2017,Najib Darmawan (14113001),"Ekstraksi Informasi 5W1H mengidentifikasi siapa melakukan apa, kapan, dimana, mengapa, dan bagaimana. Suatu teks berita perlu distrukturkan sehingga akan didapatkan pemahaman yang lebih baik terhadap teks berita itu sendiri. Melabeli teks berita Bahasa Indonesia dengan menggunakan notasi BIO (Beg...",1
106,IMAGE TO TEXT MENGGUNAKAN INPUT KAMERA MOBILE DENGAN METODE LONG SHORT TERM MEMORY,image to text menggunakan input kamera mobile dengan metode long short term memory,Teknik Informatika,2021,Andi Ariyandi,"Kecenderungan menggunakan aplikasi mobile berbasis Android dalam berbagai bidang menjadikannya memiliki perkembangan yang begitu cepat. Serta, demi pemenuhan kebutuhan pengguna, maka dikembangkan aplikasi dengan tujuan yang umum hingga khusus. Salah satunya, aplikasi pengenalan karakter atau Optical...",1
107,Implementasi Advanced Encryption Standard Dan Bit Plane Complexity Segmentation Pada Cover Album Musik,implementasi advanced encryption standard dan bit plane complexity segmentation pada cover album musik,Teknik Informatika,2023,M. Ammar Fadhila Ramadhan,"Data merupakan informasi yang sangat penting bagi sebuah organisasi atau individu. Data dapat berupa angka, teks, gambar, audio, atau video, dan dapat disimpan dalam berbagai media, seperti komputer, ponsel, atau cloud storage. Data tersebut terkadang bersifat sangat rahasia, dan salah satu cara unt...",1
113,Implementasi Algoritma Extreme Gradient Boosting Dalam Mendeteksi Situs Phishing Menggunakan Optimasi Diversity Oriented Firefly Algorithm,implementasi algoritma extreme gradient boosting dalam mendeteksi situs phishing menggunakan optimasi diversity oriented firefly algorithm,Teknik Informatika,2024,Mohammad Al Muktabar,"Phishing merupakan salah satu kejahatan siber yang terus berkembang dengan melibatkan pembuatan situs web palsu untuk mencuri informasi pengguna. Serangan phishing semakin meningkat setiap tahun, terutama melalui media sosial, serangan ini menyebabkan kerugian finansial dan pencurian data pribadi. U...",1
114,Implementasi Algoritma First Come First Served (FCFS) dan Priority Scheduling Pada Sistem Peminjaman Alat Musik Pada UKMBS Itera Menggunakan Pendekatan User Centered Design,implementasi algoritma first come first served fcfs dan priority scheduling pada sistem peminjaman alat musik pada ukmbs itera menggunakan pendekatan user centered design,Teknik Informatika,2021,Dewi Rahayu,"Peminjaman merupakan suatu proses yang dilakukan oleh seseorang dalam jangka waktu tertentu sebelum memakai barang atau sesuatu yang bukan milik kita. Dalam melakukan peminjaman akan melibatkan data yang banyak, sehingga peminjaman yang dilakukan secara manual kemungkinan besar akan berbenturan. Pem...",1
120,Implementasi Algoritme You Only Look Once Versi 3-Tiny (YOLOv3-Tiny) Untuk Menerjemahkan Citra Postur Tangan Sistem Isyarat Bahasa Indonesia (SIBI) Ke Dalam Huruf,implementasi algoritme you only look once versi 3 tiny yolov3 tiny untuk menerjemahkan citra postur tangan sistem isyarat bahasa indonesia sibi ke dalam huruf,Teknik Informatika,2020,Rahmad Nurhuda,"Bahasa isyarat merupakan bahasa yang sering digunakan oleh orang yang memiliki keterbatasan pendengaran dengan memanfaatkan postur tangan. Salah satu bahasa isyarat yang digunakan di Indonesia yaitu Sistem Isyarat Bahasa Indonesia (SIBI). Namun, tidak semua orang memahami bahasa isyarat sehingga dip...",1
125,Implementasi Augmented Reality Sebagai Media Belajar Membaca Anak Dengan Metode Marker-Based Tracking dan Metode Waterfall,implementasi augmented reality sebagai media belajar membaca anak dengan metode marker based tracking dan metode waterfall,Teknik Informatika,2022,Talitha Brillinia Batari,"Di era sekarang ini, teknologi berkembang dengan pesat terutama pada bidang informasi. Pada awalnya mendapatkan informasi dari media massa, sekolah, media elektronik saja, dan sekarang telah berkembangnya teknologi Augmented Reality yang dapat diterapkan di bidang informasi. Augmented Reality m...",1
126,Implementasi Augmented Reality Sebagai Media Belajar Sistem Isyarat Bahasa Indonesia Untuk Anak Penyandang Tuli Menggunakan Marker Based Tracking,implementasi augmented reality sebagai media belajar sistem isyarat bahasa indonesia untuk anak penyandang tuli menggunakan marker based tracking,Teknik Informatika,2023,Widodo Widodo,"Tuli merupakan kondisi seseorang yang kehilangan pendengarannya. Sehingga manusia yang memiliki kondisi tersebut akan berkomunikasi dengan bahasa isyarat. Oleh karena itu, bahasa isyarat penting dipelajari sejak dini. Namun, terdapat kesulitan pada pembelajaran dikarenakan peserta didik tidak menger...",1
129,IMPLEMENTASI CENTRALIZED LOGGING SERVICE PADA MICROSERVICE SECARA ASINKRONUS MENGGUNAKAN MESSAGE QUEUE,implementasi centralized logging service pada microservice secara asinkronus menggunakan message queue,Teknik Informatika,2023,Muhammad Taufiq Hidayat,"Dalam perkembangan perusahaan digital di Indonesia, menerapkan arsitektur microservices sangat penting guna mempermudah memelihara kode, dan ekspansi dari aplikasi untuk memenuhi kebutuhan pengguna. Dengan arsitektur microservices yang terus berkembang, akan sulit bagi pengembang mengidentifikasi ma...",1
130,IMPLEMENTASI CLUSTERING MENGGUNAKAN ALGORITMA K-MEDOID PADA MEDIA ONLINE,implementasi clustering menggunakan algoritma k medoid pada media online,Teknik Informatika,-1,Irfan Gerard Wicaksono Mokalu,"Perkembangan zaman sangat cepat sehingga membuat pertukaran informasi menjadi penting, hal tersebut juga berlaku pada dunia jurnalistik atau pers (media) yang mengalami transformasi menjadi media online. Banyaknya informasi yang dihasilkan sehingga terjadi pembiasan terhadap informasi itu tersendiri...",1
132,IMPLEMENTASI CROSS LATENT SEMANTIC ANALYSIS (CLSA) MENGGUNAKAN PEMBOBOTAN KATA TF-IDF-DF UNTUK PERINGKASAN TEKS BERITA OTOMATIS,implementasi cross latent semantic analysis clsa menggunakan pembobotan kata tf idf df untuk peringkasan teks berita otomatis,Teknik Informatika,2023,Desi Fitria Yudanto,"Perkembangan teknologi internet yang pesat berperan penting dalam mendukung informasi dan promosi pada kehidupan sehari-hari. Pesatnya kemajuan teknologi telah menyebabkan meningkatnya kebutuhan untuk mengakses informasi, , salah satu alasan penggunaan internet adalah untuk mengakses informasi...",1
133,Implementasi Digital Watermarking Menggunakan Discrete Cosine Transform dan Modulasi Linier dengan Enkripsi Generalized Arnold Map,implementasi digital watermarking menggunakan discrete cosine transform dan modulasi linier dengan enkripsi generalized arnold map,Teknik Informatika,2026,Muhammad Taqy Abdullah,"Pesatnya perkembangan teknologi multimedia menyebabkan citra digital menjadi rentan terhadap tindakan plagiasi, manipulasi, dan klaim kepemilikan ilegal. Digital watermarking hadir sebagai solusi perlindungan hak cipta, namun metode konvensional berbasis domain spasial cenderung rentan terhadap sera...",1
137,IMPLEMENTASI MEKANISME TRANSISI IPV6 DENGAN METODE 6TO4 DAN TEREDO PADA LAYANAN VIDEO CONFERENCE,implementasi mekanisme transisi ipv6 dengan metode 6to4 dan teredo pada layanan video conference,Teknik Informatika,2023,Joy Ravelo Tarigan,"Saat ini, mayoritas perangkat yang terhubung ke internet menggunakan protokol internet versi 4. Namun, dengan meningkatnya jumlah pengguna internet, ketersediaan alamat IPv4 juga menjadi semakin terbatas. Untuk mengatasai masalah ini, dikembangkanlah sebuah pengalamatan IP baru yang disebut IP...",1
139,IMPLEMENTASI METODE CANBERRA DISTANCE DAN COSINE SIMILARTY PADA DATASET REKOMENDASI BERITA,implementasi metode canberra distance dan cosine similarty pada dataset rekomendasi berita,Teknik Informatika,2024,Rifan Firmansyah,"Kemajuan teknologi menyebabkan penyebaran informasi semain luas, salah satunya adalah penyebaran berita yang tidak lagi terbatas pada media cetak saja. Pembaca sekarang dapat mengakses berbagai informasi yang mereka inginkan melalui berbagai saluran berita yang tersedia saat ini, baik pada media cet...",1
